Lot Area,Lot Config,Home Type,Roof Style,Foundation Type,Basement Area,Heating Type,Central Air,Rooms,Fireplaces,Garage Type,Fence Type,Year,Price,Satisfaction
7200,Inside,Single Family,Gable,PConc,560,GasA,Y,6,0,Detchd,MnPrv,2009,155000,5
8281,Inside,Single Family,Gable,CBlock,864,GasA,Y,5,1,Detchd,GdWo,2009,62383,4
8430,Inside,Single Family,Gable,CBlock,1040,GasA,Y,5,0,NA,NA,2009,124000,10
10637,Inside,Single Family,Hip,PConc,1705,GasA,Y,7,1,Attchd,NA,2009,297000,4
2500,Corner,Single Family,Gable,PConc,910,GasA,Y,7,1,Attchd,NA,2009,155000,2
9600,Inside,Single Family,Gable,CBlock,1113,GasA,Y,5,1,Attchd,NA,2009,147000,6
1526,Inside,Townhouse,Gable,CBlock,630,GasA,Y,3,0,Attchd,NA,2009,86000,3
5784,Inside,Single Family,Gable,BrkTil,190,GasA,Y,4,0,Attchd,NA,2009,91300,7
7879,Inside,Single Family,Gable,CBlock,720,GasA,N,4,0,NA,GdWo,2009,34900,1
7800,Inside,Single Family,Hip,PConc,864,GasA,Y,5,0,Attchd,MnPrv,2009,130000,2
2308,Inside,Townhouse,Gable,CBlock,855,GasA,Y,6,1,Attchd,NA,2009,147000,10
7596,Inside,Duplex,Hip,CBlock,960,GasA,Y,10,0,Detchd,NA,2009,124500,10
7862,Inside,Single Family,Gable,PConc,1218,GasA,Y,4,0,Attchd,NA,2009,208300,3
9600,Corner,Single Family,Gable,CBlock,1041,GasA,Y,6,0,Attchd,MnPrv,2009,124500,10
14559,Inside,Single Family,Hip,CBlock,1008,GasA,Y,6,2,CarPort,NA,2009,164900,2
12220,Inside,Single Family,Hip,CBlock,2006,GasA,Y,9,1,Attchd,NA,2009,402861,1
10448,Corner,Single Family,Gable,CBlock,689,GasA,Y,7,1,Attchd,GdPrv,2009,158000,3
10208,Inside,Single Family,Gable,PConc,1264,GasA,Y,7,1,Attchd,NA,2009,265000,4
10918,Inside,Single Family,Gambrel,BrkTil,1276,GasA,Y,9,2,Detchd,MnPrv,2009,234000,3
14601,Inside,Single Family,Hip,PConc,1838,GasA,Y,8,1,Attchd,NA,2009,315000,9
10140,Inside,Single Family,Hip,PConc,1650,GasA,Y,7,1,Attchd,NA,2009,213250,4
9375,Inside,Single Family,Gable,PConc,912,GasA,Y,8,1,BuiltIn,NA,2009,263000,6
11146,Inside,Single Family,Gable,PConc,1709,GasA,Y,7,1,Attchd,NA,2009,255500,10
8777,Inside,Single Family,Gable,CBlock,0,GasA,Y,5,0,Detchd,MnPrv,2009,108000,1
12327,Inside,Single Family,Gable,CBlock,1496,GasA,Y,5,1,BuiltIn,NA,2009,316600,4
13159,Corner,Single Family,Gable,PConc,846,GasA,Y,6,0,Attchd,NA,2009,224500,6
6292,Inside,Single Family,Gable,BrkTil,861,GasA,Y,6,1,Detchd,NA,2009,145000,7
12704,Inside,Single Family,Hip,PConc,2042,GasA,Y,8,1,Attchd,NA,2009,253293,9
6120,Inside,Single Family,Gable,BrkTil,884,GasA,Y,6,0,Detchd,NA,2009,133000,3
8740,Inside,Single Family,Hip,CBlock,840,GasA,Y,4,0,Detchd,NA,2009,137000,7
25095,Inside,Single Family,Flat,CBlock,1437,GasA,Y,5,2,Attchd,NA,2009,143000,1
13478,Corner,Single Family,Gable,PConc,1722,GasA,Y,10,1,BuiltIn,NA,2009,451950,4
4435,Inside,Townhouse,Gable,PConc,848,GasA,Y,4,0,Attchd,NA,2009,140000,2
13600,Inside,Single Family,Gable,CBlock,768,GasA,Y,7,3,Attchd,NA,2009,205000,7
12464,Corner,Single Family,Gable,PConc,1040,GasA,Y,6,0,Detchd,GdPrv,2009,152000,7
11050,Inside,Single Family,Hip,PConc,1440,GasA,Y,8,2,Attchd,NA,2009,313000,6
11885,Inside,Single Family,Gable,PConc,1299,GasA,Y,7,1,BuiltIn,NA,2009,261500,3
7064,Inside,Single Family,Gable,CBlock,980,GasA,Y,6,0,Detchd,NA,2009,135000,5
11900,Inside,Single Family,Hip,CBlock,1386,GasA,Y,6,1,Attchd,NA,2009,82500,2
6120,Inside,Single Family,Gable,BrkTil,264,Grav,N,4,1,NA,NA,2009,60000,9
6000,Inside,Condo,Gable,CBlock,811,GasA,Y,7,0,BuiltIn,NA,2009,93000,9
13860,Inside,Single Family,Gable,CBlock,1952,GasA,Y,9,3,Attchd,MnPrv,2009,345000,5
9187,Inside,Single Family,Gable,PConc,1766,GasA,Y,7,1,Attchd,NA,2009,370878,9
9084,Inside,Single Family,Gable,CBlock,755,GasA,Y,7,1,Detchd,MnPrv,2009,108000,5
8750,Inside,Single Family,Gable,PConc,880,GasA,Y,7,1,Attchd,NA,2009,191000,9
9937,Corner,Single Family,Hip,PConc,1486,GasA,Y,7,0,Detchd,MnPrv,2009,167000,4
46589,CulDSac,Single Family,Hip,PConc,1629,GasA,Y,8,1,Attchd,NA,2009,402000,8
13560,Corner,Single Family,Hip,CBlock,1392,GasA,Y,5,2,Attchd,NA,2009,110000,10
8633,FR2,Single Family,Gable,PConc,738,GasA,Y,7,0,Attchd,NA,2009,173500,1
6629,Inside,Single Family,Gambrel,BrkTil,672,GasA,N,6,0,Detchd,NA,2009,103600,5
2289,Inside,Townhouse,Gable,CBlock,855,GasA,Y,7,1,Attchd,NA,2009,148500,3
9022,Inside,Single Family,Gable,BrkTil,768,GasA,Y,5,0,Detchd,NA,2009,109500,1
11844,Inside,Single Family,Hip,PConc,2046,GasA,Y,7,1,Attchd,NA,2009,372500,5
4500,Inside,Single Family,Gable,BrkTil,793,GasA,Y,6,0,Detchd,NA,2009,159434,6
6120,Corner,Single Family,Gable,BrkTil,927,GasA,Y,5,0,Detchd,MnPrv,2009,141500,10
6240,Inside,Townhouse,Hip,PConc,1324,GasA,Y,6,1,Attchd,NA,2009,254000,3
10140,Inside,Single Family,Hip,CBlock,1064,GasA,Y,7,1,Attchd,MnPrv,2009,165000,4
8120,Inside,Single Family,Gable,CBlock,864,GasA,Y,5,0,Detchd,NA,2009,124500,10
13286,Inside,Single Family,Hip,PConc,1698,GasA,Y,8,1,Attchd,NA,2009,320000,5
6960,Inside,Single Family,Gable,CBlock,864,GasA,Y,5,0,Detchd,NA,2009,120500,4
21695,Corner,Single Family,Hip,CBlock,880,GasA,Y,5,1,Attchd,NA,2009,222000,10
7314,Inside,Single Family,Gable,PConc,1232,GasA,Y,6,0,Attchd,NA,2009,194500,10
11475,Corner,Duplex,Gable,CBlock,1584,GasA,Y,9,0,Detchd,NA,2009,110000,1
6240,Inside,Single Family,Gable,CBlock,780,GasA,Y,5,0,Detchd,NA,2009,103000,4
10000,Corner,Single Family,Hip,CBlock,864,GasA,Y,6,1,Attchd,GdWo,2009,131400,6
10800,Inside,Duplex,Gable,CBlock,1200,GasA,Y,5,0,NA,NA,2009,179000,2
9313,Inside,Single Family,Gable,PConc,864,GasA,Y,7,0,Attchd,NA,2009,190000,10
12886,Inside,Single Family,Gable,CBlock,520,GasA,Y,6,1,Attchd,NA,2009,175000,5
8795,Inside,Single Family,Gable,PConc,952,GasA,Y,8,1,BuiltIn,NA,2009,236000,4
11700,Corner,Single Family,Mansard,Stone,1240,GasW,N,8,1,Detchd,NA,2009,265979,3
8405,Inside,Single Family,Gable,Slab,0,Wall,N,9,0,Detchd,NA,2009,98000,9
7930,Inside,Single Family,Gable,CBlock,1026,GasA,Y,5,0,Detchd,NA,2009,156000,2
3230,Inside,Townhouse,Gable,PConc,729,GasA,Y,6,0,Detchd,NA,2009,172500,1
10769,Inside,Single Family,Gable,PConc,866,GasA,Y,7,0,Attchd,NA,2009,212000,10
9100,Inside,Single Family,Hip,CBlock,864,GasA,Y,5,0,Detchd,NA,2009,127500,4
6911,FR2,Single Family,Gable,PConc,1145,GasA,Y,5,0,Detchd,NA,2009,100000,5
9430,Inside,Single Family,Gable,PConc,1252,GasA,Y,8,1,Attchd,NA,2009,337000,3
7252,CulDSac,Single Family,Hip,CBlock,858,GasA,Y,5,0,Detchd,NA,2009,134900,2
4500,FR2,Townhouse,Hip,PConc,1204,GasA,Y,5,0,Attchd,NA,2009,162000,2
16285,Inside,Single Family,Gable,PConc,1413,GasA,Y,6,0,Attchd,NA,2009,187100,1
9101,Corner,Single Family,Gable,PConc,1097,GasA,Y,4,1,Attchd,NA,2009,165500,4
9790,Inside,Single Family,Gable,CBlock,1372,GasA,Y,7,1,Attchd,NA,2009,161500,5
3182,Inside,Townhouse,Gable,PConc,1145,GasA,Y,5,1,Attchd,NA,2009,160200,7
13518,Inside,Single Family,Hip,PConc,1926,GasA,Y,11,2,BuiltIn,NA,2009,485000,4
13891,Inside,Single Family,Hip,PConc,1734,GasA,Y,12,1,BuiltIn,NA,2009,582933,1
21384,Inside,Single Family,Gable,CBlock,1324,GasA,Y,6,1,Attchd,NA,2009,223500,6
8100,Corner,Single Family,Hip,PConc,849,GasA,N,11,0,Detchd,MnPrv,2009,106000,4
6000,Inside,Condo,Gable,CBlock,936,GasA,N,4,0,Detchd,NA,2009,93000,7
9900,Inside,Single Family,Gable,BrkTil,778,GasA,Y,7,1,Detchd,GdWo,2009,139500,8
8529,Inside,Single Family,Gable,PConc,1454,GasA,Y,6,1,Attchd,NA,2009,189000,1
28698,CulDSac,Single Family,Flat,PConc,1013,GasA,Y,7,0,Attchd,NA,2009,185000,3
10004,Inside,Single Family,Gable,CBlock,1516,GasA,Y,6,0,Attchd,NA,2009,167000,2
9317,Inside,Single Family,Gable,PConc,740,GasA,Y,7,1,Attchd,NA,2009,213000,6
15523,CulDSac,Single Family,Gable,CBlock,864,GasA,Y,5,1,Attchd,NA,2009,133500,9
12095,Corner,Single Family,Gable,CBlock,1127,GasA,Y,7,1,Attchd,MnPrv,2009,158000,5
8125,Inside,Single Family,Gable,PConc,702,GasA,Y,6,1,Attchd,NA,2009,174000,1
10400,Inside,Single Family,Gable,CBlock,1090,GasA,Y,6,1,Attchd,MnPrv,2009,152000,1
7931,Inside,Single Family,Hip,CBlock,1148,GasA,Y,6,0,Attchd,GdPrv,2009,132500,2
8750,Inside,Single Family,Gable,CBlock,1002,GasA,Y,5,0,Detchd,MnPrv,2009,148500,4
6600,Inside,Single Family,Hip,CBlock,894,GasA,N,5,0,Detchd,NA,2009,109500,3
12144,Inside,Single Family,Gable,CBlock,832,GasA,Y,6,1,Attchd,NA,2009,133000,9
5720,Inside,Single Family,Gable,CBlock,676,GasA,Y,5,0,Detchd,NA,2009,66500,7
8834,Inside,Single Family,Hip,PConc,1462,GasA,Y,10,1,Attchd,NA,2009,350000,3
7000,CulDSac,Single Family,Gable,CBlock,864,GasA,Y,6,0,Attchd,GdWo,2009,136500,2
9636,Corner,Single Family,Gable,PConc,808,GasA,Y,7,1,BuiltIn,MnPrv,2009,178000,10
7150,Inside,Single Family,Gable,CBlock,892,GasA,Y,5,0,Attchd,GdWo,2009,100000,4
12160,Inside,Single Family,Hip,CBlock,1505,GasA,Y,6,1,Attchd,NA,2009,149500,4
11184,Inside,Single Family,Hip,CBlock,918,GasA,Y,7,1,Attchd,NA,2009,172500,1
7018,Inside,Duplex,Gable,Slab,0,GasA,Y,8,0,Attchd,NA,2009,118858,7
7018,Inside,Duplex,Gable,Slab,0,GasA,Y,12,0,Detchd,NA,2009,142953,6
8712,Inside,Single Family,Hip,CBlock,992,GasA,Y,5,0,Detchd,NA,2009,153000,10
12589,Inside,Single Family,Gable,PConc,742,GasA,Y,8,1,Attchd,NA,2009,174000,9
9286,CulDSac,Single Family,Gable,CBlock,1268,GasA,Y,5,0,Detchd,NA,2009,143500,2
3000,Inside,Townhouse,Gable,PConc,612,GasA,Y,4,0,Detchd,NA,2009,173733,10
17140,Inside,Single Family,Gable,CBlock,1134,GasA,Y,6,0,Attchd,NA,2009,135000,8
11838,Inside,Single Family,Hip,PConc,1753,GasA,Y,7,1,Attchd,NA,2009,236500,10
8925,Inside,Single Family,Gable,PConc,1466,GasA,Y,7,0,Attchd,NA,2009,201000,2
9100,Inside,Single Family,Gable,CBlock,925,GasA,Y,5,0,Detchd,GdWo,2009,117500,6
8487,FR2,Single Family,Gable,PConc,1500,GasA,Y,6,0,Attchd,NA,2009,190000,4
10083,Inside,Single Family,Gable,PConc,1176,GasA,Y,5,0,Attchd,NA,2009,184900,2
9675,Inside,Single Family,Gable,PConc,1113,GasA,Y,8,1,Attchd,NA,2009,253000,2
8755,FR2,Single Family,Gable,PConc,992,GasA,Y,8,1,BuiltIn,GdPrv,2009,214000,6
14375,CulDSac,Single Family,Gable,CBlock,819,GasA,Y,7,1,Basment,NA,2009,137500,2
8820,Corner,Single Family,Hip,BrkTil,1088,GasA,Y,7,0,Detchd,MnWw,2009,124900,4
7200,Inside,Single Family,Gable,CBlock,768,GasA,Y,5,0,Detchd,MnPrv,2009,133900,3
1300,Inside,Townhouse,Gable,CBlock,561,GasA,Y,5,1,Attchd,GdPrv,2009,124000,8
11923,Corner,Single Family,Gable,PConc,1800,GasA,Y,7,0,Attchd,NA,2009,239000,8
9600,Inside,Single Family,Gable,BrkTil,728,GasA,Y,7,2,Detchd,NA,2009,160000,2
5925,Inside,Single Family,Gable,BrkTil,600,Grav,N,6,0,NA,GdWo,2009,37900,1
2268,Inside,Townhouse,Gable,PConc,764,GasA,Y,6,0,BuiltIn,NA,2009,173000,7
11414,Corner,Single Family,Gable,BrkTil,728,GasA,N,8,0,Detchd,GdPrv,2009,167500,4
8816,Corner,Single Family,Gable,PConc,1121,GasA,Y,5,0,Detchd,MnPrv,2009,139000,4
12203,Corner,Single Family,Hip,PConc,1225,GasA,Y,8,1,Attchd,NA,2009,336000,5
10125,Inside,Duplex,Gable,CBlock,0,GasA,Y,8,0,Attchd,NA,2009,126000,8
17671,Corner,Single Family,Gable,BrkTil,916,GasA,Y,8,1,Attchd,NA,2009,168000,9
12456,FR2,Single Family,Hip,PConc,1700,GasA,Y,7,1,Attchd,NA,2009,337500,5
11717,Inside,Single Family,Hip,CBlock,1442,GasA,Y,6,1,Attchd,NA,2009,185000,8
10206,Corner,Single Family,Flat,Slab,0,GasW,N,4,0,Detchd,NA,2009,82000,1
3182,Inside,Townhouse,Gable,PConc,1346,GasA,Y,7,1,Attchd,NA,2009,181000,4
2217,Inside,Townhouse,Gable,CBlock,546,GasA,Y,6,0,Attchd,NA,2009,88000,9
12118,CulDSac,Single Family,Hip,PConc,1710,GasA,Y,7,1,Attchd,NA,2009,240000,10
7200,Inside,Single Family,Hip,BrkTil,1022,GasW,N,4,0,Detchd,NA,2009,85000,6
8400,Inside,Single Family,Gable,PConc,810,GasA,Y,6,0,Attchd,NA,2009,227000,7
11883,Inside,Single Family,Hip,PConc,1504,GasA,Y,6,1,Attchd,NA,2009,203000,6
5814,CulDSac,Townhouse,Gable,CBlock,1220,GasA,Y,4,1,Attchd,NA,2009,187500,2
15863,Corner,Single Family,Gable,BrkTil,824,GasA,Y,12,2,Basment,NA,2009,197000,7
11500,CulDSac,Single Family,Gable,Slab,0,GasA,N,5,0,Detchd,NA,2009,84000,3
12898,Inside,Single Family,Hip,PConc,1620,GasA,Y,6,1,Attchd,NA,2009,315500,8
1533,Inside,Townhouse,Gable,CBlock,546,GasA,Y,6,1,NA,NA,2009,97000,7
1477,Inside,Townhouse,Gable,CBlock,630,GasA,Y,3,0,Attchd,NA,2009,80000,10
5381,Inside,Townhouse,Gable,PConc,1306,GasA,Y,5,1,Attchd,NA,2009,196000,1
9600,Inside,Single Family,Hip,PConc,2524,GasA,Y,9,1,Attchd,MnPrv,2009,278000,3
13680,CulDSac,Single Family,Hip,Slab,0,GasA,Y,8,1,Attchd,NA,2009,139600,8
21750,Inside,Single Family,Hip,Slab,0,GasA,Y,9,1,Attchd,GdPrv,2009,115000,3
29959,FR2,Single Family,Gable,PConc,973,GasA,Y,7,1,BuiltIn,NA,2009,248000,10
11308,Inside,Single Family,Gable,PConc,1104,GasA,Y,10,1,Attchd,NA,2009,335000,5
11000,CulDSac,Single Family,Gable,CBlock,1154,GasA,Y,6,1,Attchd,MnPrv,2009,154000,9
7837,Inside,Single Family,Gable,PConc,799,GasA,Y,7,1,Attchd,NA,2009,178000,10
11700,Inside,Single Family,Gable,CBlock,727,GasA,Y,8,0,Attchd,NA,2009,154000,7
7950,Corner,Single Family,Hip,CBlock,690,GasA,Y,6,0,Attchd,MnPrv,2009,159500,1
10574,Inside,Single Family,Gable,PConc,1082,GasA,Y,9,1,Attchd,NA,2009,252000,9
8544,Corner,Duplex,Gable,Slab,0,Wall,N,6,0,Detchd,NA,2009,92900,10
6000,Inside,Single Family,Gable,BrkTil,672,GasA,Y,6,0,Detchd,NA,2009,128000,8
11880,Inside,Single Family,Gable,CBlock,1271,GasA,Y,7,1,Attchd,NA,2009,157000,8
8400,Inside,Single Family,Gable,CBlock,290,GasA,N,3,0,Detchd,NA,2009,60000,9
11362,Inside,Single Family,Gable,PConc,1836,GasA,Y,7,1,Attchd,NA,2009,280000,1
7750,Inside,Single Family,Hip,PConc,408,GasA,Y,7,1,BuiltIn,NA,2009,184100,4
8926,Corner,Single Family,Gable,CBlock,672,GasA,Y,5,0,Basment,MnPrv,2009,112000,2
9405,Inside,Single Family,Hip,CBlock,698,GasA,Y,4,0,NA,NA,2009,118000,2
10434,Inside,Single Family,Gable,CBlock,1005,GasA,Y,5,1,Detchd,NA,2009,115000,2
3684,Inside,Townhouse,Hip,PConc,1373,GasA,Y,7,1,Attchd,NA,2009,174000,2
7804,Inside,Single Family,Gable,BrkTil,1122,GasA,Y,7,2,Detchd,MnPrv,2009,135000,9
9828,Inside,Single Family,Gable,PConc,1128,GasA,Y,8,1,Attchd,NA,2009,239500,6
9819,Inside,Single Family,Gable,PConc,1567,GasA,Y,5,2,Attchd,NA,2009,196000,2
10304,CulDSac,Single Family,Gable,CBlock,780,GasA,Y,9,1,Attchd,NA,2009,197500,9
12000,Inside,Single Family,Gable,CBlock,704,GasA,Y,7,1,Attchd,NA,2009,174500,2
9000,Inside,Single Family,Hip,PConc,650,GasA,Y,7,0,Detchd,NA,2009,143000,3
5001,Inside,Townhouse,Gable,PConc,1314,GasA,Y,6,1,Attchd,NA,2009,230000,8
9541,Inside,Single Family,Gable,PConc,1502,GasA,Y,7,0,Attchd,NA,2009,233170,6
3950,Inside,Single Family,Gable,CBlock,818,GasA,Y,5,0,Detchd,NA,2009,115000,9
7681,FR2,Single Family,Gable,BrkTil,731,GasA,Y,7,1,Detchd,NA,2009,154900,6
10615,Corner,Condo,Gable,CBlock,978,GasA,Y,7,0,CarPort,NA,2009,95000,6
8935,Inside,Single Family,Gable,PConc,831,GasA,Y,7,0,Attchd,NA,2009,195000,2
4500,FR2,Townhouse,Hip,PConc,1224,GasA,Y,5,0,Attchd,NA,2009,165000,6
9100,Inside,Single Family,Gable,PConc,1212,GasA,Y,6,0,Attchd,NA,2009,178000,10
10400,Corner,Single Family,Gable,PConc,866,GasA,Y,6,0,Attchd,NA,2009,197900,5
6000,Corner,Single Family,Gable,BrkTil,884,GasA,Y,5,1,Detchd,NA,2009,117000,10
9750,Inside,Single Family,Gable,PConc,1630,GasA,Y,6,1,Attchd,NA,2009,213000,10
14684,CulDSac,Single Family,Hip,CBlock,2158,GasA,Y,7,1,Attchd,NA,2009,271900,2
9340,Inside,Single Family,Hip,CBlock,672,GasA,Y,4,0,Attchd,NA,2009,113000,8
8640,Inside,Single Family,Gable,PConc,1300,GasA,Y,6,0,Attchd,NA,2009,229456,3
9858,Inside,Single Family,Gable,CBlock,864,GasA,Y,5,0,Attchd,GdWo,2009,130000,7
4060,Corner,Single Family,Gable,PConc,864,GasA,Y,4,0,NA,NA,2009,99900,8
24682,CulDSac,Single Family,Gable,PConc,841,GasA,Y,7,1,BuiltIn,NA,2009,181000,9
9600,Inside,Single Family,Hip,CBlock,1050,GasA,Y,5,0,Attchd,NA,2009,128900,7
11250,Inside,Single Family,Gable,CBlock,1104,GasA,Y,8,2,Attchd,NA,2009,161500,5
9156,Inside,Single Family,Hip,CBlock,1489,GasA,Y,7,1,Attchd,NA,2009,185750,8
12936,CulDSac,Single Family,Gable,CBlock,723,GasA,Y,6,1,Attchd,NA,2009,162000,9
17871,CulDSac,Single Family,Gable,CBlock,1680,GasA,Y,7,1,Attchd,NA,2009,197900,2
9808,Inside,Single Family,Gable,PConc,1573,GasA,Y,6,0,Attchd,NA,2009,227000,1
8800,Inside,Single Family,Gable,CBlock,1040,GasA,Y,5,0,Detchd,NA,2009,150500,10
6000,Inside,Single Family,Gable,CBlock,780,GasA,Y,6,1,Detchd,NA,2009,132500,4
5664,Inside,Townhouse,Gable,PConc,1501,GasA,Y,5,1,Attchd,NA,2009,278000,3
1680,Inside,Townhouse,Gable,CBlock,630,GasA,Y,6,0,Detchd,NA,2009,119500,7
6600,Corner,Single Family,Gable,Stone,994,GasA,N,11,0,Attchd,NA,2009,107500,8
10762,CulDSac,Single Family,Gable,PConc,978,GasA,Y,9,1,Attchd,NA,2009,225000,10
7500,Inside,Single Family,Gable,CBlock,771,GasA,Y,7,2,Attchd,NA,2009,177500,6
13173,Corner,Single Family,Hip,PConc,1652,GasA,Y,6,2,Attchd,NA,2009,325000,5
8072,Inside,Single Family,Gable,PConc,990,GasA,Y,5,0,Detchd,NA,2009,138000,1
10226,Inside,Single Family,Gable,PConc,1622,GasA,Y,8,1,Attchd,NA,2009,295493,5
8400,Inside,Single Family,Hip,CBlock,1478,GasA,Y,6,2,Attchd,NA,2009,156500,9
5330,Inside,Single Family,Hip,CBlock,420,GasA,Y,5,0,NA,NA,2009,82500,6
8877,Inside,Single Family,Gable,CBlock,816,GasA,Y,3,1,Detchd,NA,2009,100000,4
2368,Inside,Townhouse,Gable,CBlock,765,GasA,Y,7,0,Attchd,NA,2009,125000,5
9650,Inside,Single Family,Gable,CBlock,1350,GasA,Y,6,1,Attchd,NA,2009,167900,8
7558,Inside,Single Family,Gable,BrkTil,896,GasA,Y,9,1,Detchd,NA,2009,177000,2
11643,Inside,Duplex,Gable,CBlock,1248,GasA,Y,12,0,Detchd,NA,2009,200000,9
6000,Inside,Single Family,Gable,BrkTil,698,GasA,Y,4,0,Detchd,NA,2009,134900,8
16158,Inside,Single Family,Hip,PConc,1530,GasA,Y,7,1,Attchd,NA,2009,260000,7
12513,FR2,Single Family,Gable,BrkTil,715,GasA,Y,7,1,Attchd,NA,2009,104900,6
4435,Inside,Townhouse,Gable,PConc,848,GasA,Y,4,0,Attchd,NA,2009,144000,1
5400,Corner,Single Family,Gable,PConc,840,GasA,Y,6,0,Detchd,NA,2009,105000,4
10998,Inside,Single Family,Gable,CBlock,984,GasA,Y,6,0,Detchd,NA,2009,117000,8
9060,Inside,Single Family,Gable,BrkTil,560,GasA,Y,6,0,Detchd,MnPrv,2009,105000,9
14892,CulDSac,Single Family,Gable,PConc,1746,GasA,Y,7,2,Attchd,NA,2009,377500,5
8944,Inside,Duplex,Gable,CBlock,1584,GasA,Y,8,0,Detchd,NA,2009,124000,4
7200,Inside,Single Family,Gable,CBlock,1208,GasA,Y,7,0,Attchd,GdPrv,2009,138000,10
6171,Inside,Single Family,Gable,BrkTil,976,GasA,Y,7,1,Detchd,MnPrv,2009,137450,2
8445,Corner,Single Family,Gable,CBlock,768,GasA,Y,5,0,Detchd,MnPrv,2009,133000,10
8780,Corner,Single Family,Gable,CBlock,833,GasA,Y,5,0,NA,MnPrv,2009,112000,2
12420,Inside,Single Family,Gable,PConc,944,GasA,Y,6,0,Attchd,NA,2009,230000,4
9600,Inside,Single Family,Gable,CBlock,856,GasA,Y,6,0,Attchd,MnPrv,2009,140000,6
7200,Inside,Duplex,Gable,Slab,0,Wall,N,6,0,Detchd,NA,2009,90000,5
10994,Corner,Single Family,Gable,PConc,1844,GasA,Y,7,1,Attchd,NA,2009,257000,5
3635,Inside,Townhouse,Hip,PConc,1386,GasA,Y,7,1,Attchd,NA,2009,175900,2
16545,Inside,Single Family,Gable,PConc,1284,GasA,Y,7,1,Attchd,NA,2009,340000,5
4928,Inside,Townhouse,Gable,CBlock,958,GasA,Y,5,0,Attchd,NA,2009,143750,9
11003,Inside,Single Family,Gable,PConc,1017,GasA,Y,10,1,Attchd,NA,2009,310000,1
8854,Inside,Single Family,Gable,BrkTil,952,Grav,N,4,1,Detchd,NA,2009,121000,3
9000,FR2,Duplex,Gable,CBlock,896,GasA,Y,8,0,NA,NA,2009,136000,8
9262,Inside,Single Family,Gable,PConc,1573,GasA,Y,7,1,Attchd,NA,2009,287090,5
7500,Inside,Single Family,Gable,PConc,1221,GasA,Y,6,0,Attchd,NA,2009,185000,2
8450,Inside,Single Family,Gable,PConc,856,GasA,Y,8,0,Attchd,NA,2008,208500,10
11250,Inside,Single Family,Gable,PConc,920,GasA,Y,6,1,Attchd,NA,2008,223500,6
14260,FR2,Single Family,Gable,PConc,1145,GasA,Y,9,1,Attchd,NA,2008,250000,3
6120,Inside,Single Family,Gable,BrkTil,952,GasA,Y,8,2,Detchd,NA,2008,129900,7
7420,Corner,Condo,Gable,BrkTil,991,GasA,Y,5,2,Attchd,NA,2008,118000,7
11200,Inside,Single Family,Hip,CBlock,1040,GasA,Y,5,0,Detchd,NA,2008,129500,6
12968,Inside,Single Family,Hip,CBlock,912,GasA,Y,4,0,Detchd,NA,2008,144000,8
10920,Corner,Single Family,Hip,CBlock,1253,GasA,Y,5,1,Attchd,GdWo,2008,157000,7
13695,Inside,Single Family,Gable,PConc,1114,GasA,Y,6,0,Detchd,NA,2008,159000,9
9742,Inside,Single Family,Hip,PConc,1777,GasA,Y,7,1,Attchd,NA,2008,230000,5
6324,Inside,Single Family,Gable,BrkTil,520,GasA,N,4,0,Detchd,NA,2008,68500,3
8500,Inside,Single Family,Gambrel,BrkTil,649,GasA,N,6,0,Detchd,MnPrv,2008,40000,9
8544,CulDSac,Single Family,Gable,CBlock,1228,GasA,Y,6,0,Attchd,MnPrv,2008,149350,10
11049,Corner,Single Family,Gable,PConc,1234,GasA,Y,7,0,Attchd,NA,2008,179900,4
6040,Inside,Duplex,Gable,PConc,0,GasA,N,6,0,NA,NA,2008,82000,2
9200,CulDSac,Single Family,Hip,CBlock,938,GasA,Y,5,0,Detchd,MnPrv,2008,130250,8
10175,Inside,Single Family,Gable,CBlock,1425,GasA,Y,7,1,Attchd,NA,2008,180500,7
7200,Inside,Single Family,Gable,CBlock,780,GasA,Y,4,0,Detchd,MnPrv,2008,124900,9
8475,Inside,Single Family,Gable,CBlock,952,GasA,Y,4,0,Detchd,NA,2008,135750,3
8635,Inside,Single Family,Gable,CBlock,672,GasA,Y,6,0,Detchd,MnPrv,2008,127000,8
10206,Inside,Single Family,Gable,PConc,1563,GasA,Y,6,1,Attchd,NA,2008,245000,5
9375,Inside,Single Family,Hip,PConc,1053,GasA,Y,9,1,Attchd,NA,2008,250000,5
6000,Inside,Single Family,Gable,CBlock,789,GasA,Y,5,0,Detchd,NA,2008,115000,1
9464,Corner,Single Family,Hip,CBlock,1080,GasA,Y,5,0,Attchd,NA,2008,136000,1
7892,Inside,Townhouse,Gable,PConc,1199,GasA,Y,5,0,Attchd,NA,2008,153900,5
10400,Inside,Single Family,Hip,PConc,1304,GasA,Y,7,1,Attchd,MnPrv,2008,174000,4
9066,Inside,Single Family,Gable,PConc,1004,GasA,Y,7,2,Attchd,GdPrv,2008,230000,8
7500,Inside,Single Family,Gable,PConc,1080,GasA,Y,6,0,NA,NA,2008,141000,10
13891,Inside,Single Family,Hip,PConc,1710,GasA,Y,6,1,Attchd,NA,2008,372402,8
13500,Inside,Single Family,Flat,CBlock,1602,GasA,Y,4,1,Attchd,NA,2008,235000,1
9600,Corner,Single Family,Gable,BrkTil,572,Grav,N,5,0,NA,NA,2008,79000,7
