Foot,Name,Position,Club,Country,Age,Salary,Goals
Left,Emre Mor,Forward,FC Nordsjælland,Turkey,18,100000,0
Right,Şener Özbayraklı,Defender,Fenerbahçe,Turkey,26,5000000,0
Right,Harun Tekin,Goalkeeper,Bursaspor,Turkey,26,1500000,0
Left,Thibaut Courtois,Goalkeeper,Chelsea,Belgium,24,35000000,0
Right,Toby Alderweireld,Defender,Tottenham Hotspur,Belgium,27,22000000,1
Left,Thomas Vermaelen,Defender,Barcelona,Belgium,30,4000000,1
Right,Radja Nainggolan,Midfielder,Roma,Belgium,28,27000000,4
Left,Jan Vertonghen,Defender,Tottenham Hotspur,Belgium,29,21000000,6
Right,Axel Witsel,Midfielder,Zenit Saint Petersburg,Belgium,27,28000000,6
Right,Kevin De Bruyne,Forward,Manchester City,Belgium,24,60000000,12
Right,Marouane Fellaini,Midfielder,Manchester United,Belgium,28,19000000,15
Left,Romelu Lukaku,Forward,Everton,Belgium,23,35000000,11
Both,Eden Hazard,Forward,Chelsea,Belgium,25,70000000,12
Both,Yannick Ferreira Carrasco,Forward,Atlético Madrid,Belgium,22,20000000,0
Right,Simon Mignolet,Goalkeeper,Liverpool,Belgium,28,12000000,0
Right,Jean-François Gillet,Goalkeeper,Mechelen,Belgium,37,400000,0
Right,Dries Mertens,Forward,Napoli,Belgium,29,17000000,8
Right,Jason Denayer,Defender,Galatasaray,Belgium,20,4000000,0
Right,Thomas Meunier,Defender,ClubBrugge,Belgium,24,6000000,0
Both,Divock Origi,Forward,Liverpool,Belgium,21,9000000,3
Right,Christian Kabasele,Defender,Genk,Belgium,25,6000000,0
Left,Mousa Dembélé,Midfielder,Tottenham Hotspur,Belgium,28,16000000,5
Right,Christian Benteke,Forward,Liverpool,Belgium,25,30000000,6
Left,Jordan Lukaku,Defender,Oostende,Belgium,21,3000000,0
Both,Michy Batshuayi,Forward,Marseille,Belgium,22,14000000,2
Right,Laurent Ciman,Defender,Montreal Impact,Belgium,30,2500000,0
Right,Gianluigi Buffon,Goalkeeper,Juventus,Italy,38,2000000,0
Right,Mattia De Sciglio,Defender,Milan,Italy,23,5000000,0
Left,Giorgio Chiellini,Defender,Juventus,Italy,31,15000000,6
Right,Matteo Darmian,Defender,Manchester United,Italy,26,15000000,1
Left,Angelo Ogbonna,Defender,West Ham United,Italy,28,9000000,0
Right,Antonio Candreva,Midfielder,Lazio,Italy,29,25000000,3
Left,Simone Zaza,Forward,Juventus,Italy,24,11000000,1
Right,Alessandro Florenzi,Midfielder,Roma,Italy,25,20000000,2
Right,Graziano Pellè,Forward,Southampton,Italy,30,11000000,5
Left,Thiago Motta,Midfielder,Paris Saint-Germain,Italy,33,3000000,1
Right,Ciro Immobile,Forward,Torino,Italy,26,10000000,1
Right,Salvatore Sirigu,Goalkeeper,Paris Saint-Germain,Italy,29,9000000,0
Left,Federico Marchetti,Goalkeeper,Lazio,Italy,33,5500000,0
Right,Stefano Sturaro,Midfielder,Juventus,Italy,23,10000000,0
Right,Andrea Barzagli,Defender,Juventus,Italy,35,3000000,0
Both,Daniele De Rossi,Midfielder,Roma,Italy,32,7000000,17
Right,Éder,Forward,Internazionale,Italy,29,15000000,2
Both,Marco Parolo,Midfielder,Lazio,Italy,31,7500000,0
Right,Leonardo Bonucci,Defender,Juventus,Italy,29,30000000,3
Right,Lorenzo Insigne,Forward,Napoli,Italy,25,25000000,2
Left,Federico Bernardeschi,Midfielder,Fiorentina,Italy,22,15000000,0
Right,Stephan El Shaarawy,Forward,Roma,Italy,23,15000000,3
Right,Emanuele Giaccherini,Midfielder,Bologna,Italy,31,4000000,3
Left,Keiren Westwood,Goalkeeper,Sheffield Wednesday,Republic of Ireland,31,1500000,0
Right,Séamus Coleman,Defender,Everton,Republic of Ireland,27,19000000,0
Left,Ciaran Clark,Defender,Aston Villa,Republic of Ireland,26,4500000,2
Right,John O'Shea,Defender,Sunderland,Republic of Ireland,35,1000000,3
Right,Richard Keogh,Defender,Derby County,Republic of Ireland,29,1800000,1
Right,Glenn Whelan,Midfielder,Stoke City,Republic of Ireland,32,3000000,2
Both,Aiden McGeady,Midfielder,Everton,Republic of Ireland,30,4500000,5
Right,James McCarthy,Midfielder,Everton,Republic of Ireland,25,17000000,0
Both,Shane Long,Forward,Southampton,Republic of Ireland,29,10000000,16
Right,Robbie Keane,Forward,States LA Galaxy,Republic of Ireland,35,1000000,67
Left,James McClean,Midfielder,West Bromwich Albion,Republic of Ireland,27,3000000,5
Right,Shane Duffy,Defender,Blackburn Rovers,Republic of Ireland,24,1500000,0
Right,Jeff Hendrick,Midfielder,Derby County,Republic of Ireland,24,1500000,0
Right,Jonathan Walters,Forward,Stoke City,Republic of Ireland,32,3500000,10
Right,Cyrus Christie,Defender,Derby County,Republic of Ireland,23,1000000,1
Right,Shay Given,Goalkeeper,Stoke City,Republic of Ireland,40,500000,0
Left,Stephen Ward,Defender,Burnley,Republic of Ireland,30,1000000,3
Right,David Meyler,Midfielder,Hull City,Republic of Ireland,27,2500000,0
Left,Robbie Brady,Midfielder,Norwich City,Republic of Ireland,24,6000000,4
Left,Wes Hoolahan,Midfielder,Norwich City,Republic of Ireland,34,2000000,2
Left,Daryl Murphy,Forward,Ipswich Town,Republic of Ireland,33,1000000,0
Left,Stephen Quinn,Midfielder,Reading,Republic of Ireland,30,1500000,0
Right,Darren Randolph,Goalkeeper,West Ham United,Republic of Ireland,29,1000000,0
Right,Andreas Isaksson,Goalkeeper,Kasımpaşa,Sweden,34,1200000,0
Right,Mikael Lustig,Defender,Celtic,Sweden,29,3500000,2
Left,Erik Johansson,Defender,Copenhagen,Sweden,27,1000000,0
Right,Andreas Granqvist,Defender,Krasnodar,Sweden,31,8000000,3
Left,Martin Olsson,Defender,Norwich City,Sweden,28,4000000,5
Right,Emil Forsberg,Midfielder,RB Leipzig,Sweden,24,4000000,1
Right,Sebastian Larsson,Midfielder,Sunderland,Sweden,31,3500000,6
Right,Albin Ekdal,Midfielder,Hamburger SV,Sweden,26,4500000,0
Left,Kim Källström,Midfielder,Grasshopper,Sweden,33,1500000,16
Both,Zlatan Ibrahimović,Forward,Paris Saint-Germain,Sweden,34,15000000,62
Right,Marcus Berg,Forward,Panathinaikos,Sweden,29,5000000,10
Unknown,Robin Olsen,Goalkeeper,Copenhagen,Sweden,26,1500000,0
Right,Pontus Jansson,Defender,Torino,Sweden,25,1300000,0
Right,Victor Lindelöf,Defender,Benfica,Sweden,21,2500000,0
Right,Oscar Hiljemark,Midfielder,Palermo,Sweden,23,3000000,1
Right,Pontus Wernbloom,Midfielder,CSKA Moscow,Sweden,29,10000000,2
Left,Ludwig Augustinsson,Defender,Copenhagen,Sweden,22,3000000,0
Both,Oscar Lewicki,Midfielder,Malmö FF,Sweden,23,1500000,0
Both,Emir Kujović,Forward,IFK Norrköping,Sweden,27,1000000,1
Right,John Guidetti,Forward,Celta Vigo,Sweden,24,4000000,0
Left,Jimmy Durmaz,Midfielder,Olympiacos,Sweden,27,3750000,2
Right,Erkan Zengin,Midfielder,Trabzonspor,Sweden,30,3300000,3
Unknown,Patrik Carlgren,Goalkeeper,AIK,Sweden,24,800000,0
Left,Robert Almer,Goalkeeper,Austria Wien,Austria,32,1000000,0
Right,György Garics,Midfielder,Darmstadt 98,Austria,32,750000,2
Both,Aleksandar Dragović,Defender,Dynamo Kyiv,Austria,25,13000000,1
Left,Martin Hinteregger,Defender,Borussia Mönchengladbach,Austria,23,9000000,0
Left,Christian Fuchs,Defender,Leicester City,Austria,30,4500000,1
Right,Stefan Ilsanker,Midfielder,RB Leipzig,Austria,27,1800000,0
Both,Marko Arnautović,Forward,Stoke City,Austria,27,8000000,11
Left,David Alaba,Midfielder,Bayern Munich,Austria,23,45000000,11
Both,Rubin Okotie,Forward,1860 München,Austria,29,1300000,2
Right,Zlatko Junuzović,Midfielder,Werder Bremen,Austria,28,7000000,7
Right,Martin Harnik,Midfielder,VfB Stuttgart,Austria,29,3500000,14
Right,Heinz Lindner,Goalkeeper,Eintracht Frankfurt,Austria,25,1000000,0
Left,Markus Suttner,Defender,Ingolstadt 04,Austria,29,1500000,0
Right,Julian Baumgartlinger,Midfielder,Mainz 05,Austria,28,4000000,1
Right,Sebastian Prödl,Defender,Watford,Austria,28,4000000,4
Left,Kevin Wimmer,Defender,Tottenham Hotspur,Austria,23,6500000,0
Right,Florian Klein,Defender,VfB Stuttgart,Austria,29,2000000,0
Right,Alessandro Schöpf,Midfielder,Schalke 04,Austria,22,4000000,1
Right,Lukas Hinterseer,Forward,Ingolstadt 04,Austria,25,2000000,0
Right,Marcel Sabitzer,Midfielder,RB Leipzig,Austria,22,4000000,3
Left,Marc Janko,Forward,Basel,Austria,32,1750000,26
Both,Jakob Jantscher,Midfielder,Luzern,Austria,27,1500000,1
Left,Ramazan Özcan,Goalkeeper,Ingolstadt 04,Austria,31,1250000,0
Left,Gábor Király,Goalkeeper,Haladás,Hungary,40,250000,0
Right,Ádám Lang,Defender,Videoton,Hungary,23,700000,0
Left,Mihály Korhut,Defender,Debrecen,Hungary,27,450000,0
Left,Tamás Kádár,Defender,Lech Poznań,Hungary,26,750000,0
Right,Attila Fiola,Defender,Puskás Akadémia,Hungary,26,750000,0
Left,Ákos Elek,Midfielder,Diósgyőri VTK,Hungary,27,600000,1
Left,Balázs Dzsudzsák,Forward,Bursaspor,Hungary,29,6250000,18
Both,Ádám Nagy,Midfielder,Ferencváros,Hungary,20,1000000,0
Right,Ádám Szalai,Forward,Hannover 96,Hungary,28,2500000,8
Both,Zoltán Gera,Forward,Ferencváros,Hungary,37,500000,24
Right,Krisztián Németh,Forward,Al-Gharafa,Hungary,27,1400000,3
Right,Dénes Dibusz,Goalkeeper,Ferencváros,Hungary,25,1200000,0
Right,Dániel Böde,Forward,Ferencváros,Hungary,29,800000,4
Right,Gergő Lovrencsics,Midfielder,Lech Poznań,Hungary,27,800000,1
Right,László Kleinheisler,Midfielder,Werder Bremen,Hungary,22,600000,1
Right,Ádám Pintér,Defender,Ferencváros,Hungary,27,650000,0
Both,Nemanja Nikolić,Forward,Legia Warsaw,Hungary,28,3500000,3
Left,Zoltán Stieber,Midfielder,1. FC Nürnberg,Hungary,27,1300000,2
Right,Tamás Priskin,Forward,Slovan Bratislava,Hungary,29,700000,17
Right,Richárd Guzmics,Defender,Wisła Kraków,Hungary,29,750000,1
Right,Barnabás Bese,Defender,MTK Budapest,Hungary,22,350000,0
Right,Péter Gulácsi,Goalkeeper,RB Leipzig,Hungary,26,500000,0
Right,Roland Juhász,Defender,Videoton,Hungary,32,1000000,6
Right,Hannes Þór Halldórsson,Goalkeeper,Bodø/Glimt,Iceland,32,400000,0
Right,Birkir Már Sævarsson,Defender,Hammarby IF,Iceland,31,500000,0
Right,Haukur Heiðar Hauksson,Defender,AIK,Iceland,24,500000,0
Right,Hjörtur Hermannsson,Defender,IFK Göteborg,Iceland,21,200000,0
Right,Sverrir Ingi Ingason,Defender,Lokeren,Iceland,22,900000,1
Right,Ragnar Sigurðsson,Defender,Krasnodar,Iceland,29,6000000,1
Left,Jóhann Berg Guðmundsson,Forward,Charlton Athletic,Iceland,25,2000000,5
Right,Birkir Bjarnason,Midfielder,Basel,Iceland,28,2500000,6
Right,Kolbeinn Sigþórsson,Forward,Nantes,Iceland,26,3000000,19
Right,Gylfi Sigurðsson,Midfielder,Swansea City,Iceland,26,11000000,12
Right,Alfreð Finnbogason,Forward,Augsburg,Iceland,27,3500000,7
Right,Ögmundur Kristinsson,Goalkeeper,Hammarby IF,Iceland,26,350000,0
Right,Ingvar Jónsson,Goalkeeper,Sandefjord,Iceland,26,100000,0
Right,Kári Árnason,Midfielder,Malmö FF,Iceland,33,600000,2
Right,Jón Daði Böðvarsson,Forward,Kaiserslautern,Iceland,24,800000,1
Right,Rúnar Már Sigurjónsson,Midfielder,GIF Sundsvall,Iceland,25,400000,1
Right,Aron Gunnarsson,Midfielder,Cardiff City,Iceland,27,3000000,2
Both,Theódór Elmar Bjarnason,Defender,AGF,Iceland,29,500000,0
Left,Hörður Björgvin Magnússon,Defender,Cesena,Iceland,23,500000,0
Left,Emil Hallfreðsson,Midfielder,Udinese,Iceland,31,3000000,1
Right,Arnór Ingvi Traustason,Defender,IFK Norrköping,Iceland,23,800000,3
Right,Eiður Guðjohnsen,Forward,Molde FK,Iceland,37,300000,25
Both,Ari Freyr Skúlason,Defender,OB,Iceland,29,700000,0
Left,Rui Patrício,Goalkeeper,Sporting CP,Portugal,28,14000000,0
Right,Bruno Alves,Defender,Fenerbahçe,Portugal,34,2200000,10
Right,Pepe,Defender,Real Madrid,Portugal,33,6000000,3
Right,José Fonte,Defender,Southampton,Portugal,32,5000000,0
Left,Raphaël Guerreiro,Defender,Lorient,Portugal,22,7500000,2
Right,Ricardo Carvalho,Defender,Monaco,Portugal,38,500000,5
Both,Cristiano Ronaldo,Forward,Real Madrid,Portugal,31,110000000,56
Right,João Moutinho,Midfielder,Monaco,Portugal,29,18000000,4
Both,Éder,Forward,Lille,Portugal,28,5000000,2
Right,João Mário,Midfielder,Sporting CP,Portugal,23,12000000,0
Right,Vieirinha,Midfielder,Wolfsburg,Portugal,30,8000000,1
Left,Anthony Lopes,Goalkeeper,Lyon,Portugal,25,12000000,0
Right,Danilo,Midfielder,Porto,Portugal,24,8000000,0
Right,William Carvalho,Midfielder,Sporting CP,Portugal,24,26000000,0
Right,André Gomes,Midfielder,Valencia,Portugal,22,18000000,0
Right,Renato Sanches,Midfielder,Benfica,Portugal,18,10000000,0
Both,Nani,Forward,Fenerbahçe,Portugal,29,16000000,18
Right,Rafa Silva,Midfielder,Braga,Portugal,23,11000000,0
Left,Eliseu,Defender,Benfica,Portugal,32,2000000,1
Right,Ricardo Quaresma,Forward,Beşiktaş,Portugal,32,4000000,5
Right,Cédric Soares,Defender,Southampton,Portugal,24,11000000,0
Right,Eduardo,Goalkeeper,Dinamo Zagreb,Portugal,33,1500000,0
Right,Adrien Silva,Midfielder,Sporting CP,Portugal,27,14000000,0
