Title,Worldwide Gross,Production Budget,Release Year,Content Rating,Running Time,Genre,Creative Type,Rotten Tomatoes Rating,IMDB Rating
The Majestic,37306334,72000000,2001,PG,153,Drama,Historical Fiction,41,6.8
Ali,84383966,109000000,2001,R,159,Drama,Dramatization,67,6.6
Gosford Park,41300105,18000000,2001,R,137,Comedy,Historical Fiction,86,7.3
Monster's Ball,44873922,4000000,2001,R,111,Drama,Contemporary Fiction,85,7.2
Black Hawk Down,173638745,95000000,2001,R,144,Action,Dramatization,76,7.7
Snow Dogs,115010692,32000000,2002,PG,99,Comedy,Kids Fiction,23,4.9
The Count of Monte Cristo,54228104,40000000,2002,PG-13,131,Drama,Historical Fiction,74,7.6
A Walk to Remember,46060915,11000000,2002,PG,102,Drama,Contemporary Fiction,28,7.1
Big Fat Liar,52375275,15000000,2002,PG,88,Comedy,Contemporary Fiction,43,5.2
John Q,102226631,36000000,2002,PG-13,116,Drama,Contemporary Fiction,22,6.6
Dragonfly,30063805,60000000,2002,PG-13,104,Drama,Fantasy,7,5.8
40 Days and 40 Nights,95092667,17000000,2002,R,96,Romantic Comedy,Contemporary Fiction,38,5.4
All About the Benjamins,25873145,14000000,2002,R,95,Comedy,Contemporary Fiction,29,5.3
Ice Age,383257136,65000000,2002,PG,81,Adventure,Kids Fiction,77,7.4
Resident Evil,103787401,35000000,2002,R,100,Horror,Science Fiction,34,6.4
Showtime,78948765,85000000,2002,PG-13,95,Comedy,Contemporary Fiction,24,5.3
Clockstoppers,38788828,26000000,2002,PG,94,Adventure,Science Fiction,28,5
Panic Room,196308367,48000000,2002,R,112,Thriller,Contemporary Fiction,76,6.9
High Crimes,63781100,42000000,2002,PG-13,115,Thriller,Contemporary Fiction,31,6.1
My Big Fat Greek Wedding,368744044,5000000,2002,PG,95,Romantic Comedy,Contemporary Fiction,75,6.6
Murder by Numbers,56643267,50000000,2002,R,120,Thriller,Contemporary Fiction,31,5.9
The Scorpion King,164529000,60000000,2002,PG-13,91,Action,Fantasy,40,5.3
Spider-Man,821708551,139000000,2002,PG-13,121,Adventure,Super Hero,89,7.4
Unfaithful,119114494,50000000,2002,R,123,Drama,Contemporary Fiction,48,6.6
About a Boy,129949664,27000000,2002,PG-13,101,Romantic Comedy,Contemporary Fiction,93,7.4
Enough,39177215,38000000,2002,PG-13,115,Thriller,Contemporary Fiction,21,6.5
Insomnia,113622499,46000000,2002,R,118,Thriller,Contemporary Fiction,92,6.3
The Sum of All Fears,193500000,68000000,2002,PG-13,124,Action,Contemporary Fiction,59,6.3
Undercover Brother,38230435,25000000,2002,PG-13,86,Comedy,Contemporary Fiction,76,5.7
Bad Company,69157016,70000000,2002,PG-13,117,Action,Contemporary Fiction,10,5.3
The Bourne Identity,213300000,60000000,2002,PG-13,110,Action,Contemporary Fiction,82,7.7
Scooby-Doo,276294164,84000000,2002,PG,86,Comedy,Kids Fiction,28,4.7
Windtalkers,77628265,115000000,2002,R,134,Action,Historical Fiction,32,5.8
Minority Report,358824714,102000000,2002,PG-13,145,Action,Science Fiction,91,7.7
Like Mike,62432423,30000000,2002,PG,99,Comedy,Kids Fiction,56,4.4
K-19: The Widowmaker,65716126,90000000,2002,PG-13,138,Action,Dramatization,61,6.5
Stuart Little 2,166000000,120000000,2002,PG,78,Comedy,Kids Fiction,83,5.6
Austin Powers in Goldmember,292738626,63000000,2002,PG-13,94,Comedy,Science Fiction,54,6.2
Signs,408265690,70702619,2002,PG-13,106,Thriller,Science Fiction,74,6.9
Blood Work,26199517,50000000,2002,R,110,Thriller,Contemporary Fiction,54,6.3
xXx,267200000,70000000,2002,PG-13,124,Action,Contemporary Fiction,48,5.5
Barbershop,77081642,12000000,2002,PG-13,103,Comedy,Contemporary Fiction,82,6.2
Sweet Home Alabama,163379330,38000000,2002,PG-13,109,Comedy,Contemporary Fiction,37,5.8
Red Dragon,206455420,78000000,2002,R,125,Thriller,Contemporary Fiction,68,7.3
The Transporter,43928932,21000000,2002,PG-13,92,Action,Contemporary Fiction,53,6.6
The Ring,249094024,48000000,2002,PG-13,115,Horror,Contemporary Fiction,71,5.5
I Spy,33561137,70000000,2002,PG-13,97,Action,Contemporary Fiction,15,5.3
8 Mile,242924075,41000000,2002,R,110,Drama,Contemporary Fiction,74,6.7
Harry Potter and the Chamber of Secrets,878987880,100000000,2002,PG,161,Adventure,Fantasy,82,7.2
Die Another Day,431942139,142000000,2002,PG-13,133,Action,Contemporary Fiction,59,6
Analyze That,54994757,60000000,2002,R,96,Comedy,Contemporary Fiction,27,5.6
Maid in Manhattan,154832896,55000000,2002,PG-13,105,Romantic Comedy,Contemporary Fiction,39,4.6
About Schmidt,105823486,30000000,2002,R,125,Drama,Contemporary Fiction,85,7.3
Gangs of New York,190400000,97000000,2002,R,168,Drama,Historical Fiction,75,7.4
Catch Me if You Can,351106800,52000000,2002,PG-13,141,Drama,Dramatization,96,5.7
Chicago,307687518,30000000,2002,PG-13,113,Musical,Historical Fiction,88,7.2
The Hours,108775994,25000000,2002,PG-13,115,Drama,Historical Fiction,80,7.6
Just Married,56127162,19000000,2003,PG-13,95,Romantic Comedy,Contemporary Fiction,20,5.1
Final Destination 2,89626226,26000000,2003,R,90,Horror,Fantasy,47,6.4
How to Lose a Guy in 10 Days,177079973,50000000,2003,PG-13,116,Romantic Comedy,Contemporary Fiction,43,6.1
Shanghai Knights,60470220,50000000,2003,PG-13,114,Adventure,Historical Fiction,66,6.2
Daredevil,179179718,80000000,2003,PG-13,105,Action,Super Hero,44,5.5
Old School,86325829,24000000,2003,R,91,Comedy,Contemporary Fiction,60,7
Cradle 2 the Grave,56434942,25000000,2003,R,101,Horror,Contemporary Fiction,26,5.4
Bringing Down the House,164675402,20000000,2003,PG-13,105,Comedy,Contemporary Fiction,34,5.4
Tears of the Sun,85632458,75000000,2003,R,121,Action,Contemporary Fiction,34,6.4
The Hunted,45016494,55000000,2003,R,94,Action,Contemporary Fiction,31,5.8
Dreamcatcher,75685268,68000000,2003,R,136,Drama,Science Fiction,30,5.3
Basic,42598498,50000000,2003,R,98,Thriller,Contemporary Fiction,21,6.3
Head of State,38283765,35200000,2003,PG-13,95,Comedy,Contemporary Fiction,30,5.1
The Core,74132631,85000000,2003,PG-13,133,Action,Science Fiction,42,5.3
A Man Apart,44114828,36000000,2003,R,110,Action,Contemporary Fiction,11,5.7
Phone Booth,97837138,11000000,2003,R,81,Thriller,Contemporary Fiction,71,7.2
What a Girl Wants,35990505,25000000,2003,PG,105,Comedy,Contemporary Fiction,34,5.7
Anger Management,195660942,56000000,2003,PG-13,106,Comedy,Contemporary Fiction,43,6.1
Holes,72383924,20000000,2003,PG,117,Drama,Contemporary Fiction,77,7.1
Identity,90231264,28000000,2003,R,90,Thriller,Contemporary Fiction,62,7.3
Daddy Day Care,164285587,60000000,2003,PG,92,Comedy,Contemporary Fiction,28,5.5
The Matrix Reloaded,738576929,127000000,2003,R,138,Action,Science Fiction,73,7.1
Bruce Almighty,485004995,81000000,2003,PG-13,101,Comedy,Fantasy,48,6.6
Finding Nemo,867894287,94000000,2003,G,100,Adventure,Kids Fiction,98,8.2
The Italian Job,175826012,60000000,2003,PG-13,111,Adventure,Contemporary Fiction,73,6.9
2 Fast 2 Furious,236220058,76000000,2003,PG-13,107,Action,Contemporary Fiction,36,5.1
Hollywood Homicide,51107785,75000000,2003,PG-13,116,Action,Contemporary Fiction,30,5.2
Hulk,245360480,137000000,2003,PG-13,138,Action,Super Hero,62,5.7
28 Days Later...,82719885,15000000,2003,R,113,Horror,Science Fiction,89,7.6
The League of Extraordinary Gentlemen,179265204,78000000,2003,PG-13,110,Adventure,Super Hero,17,5.5
Bad Boys II,272940870,130000000,2003,R,147,Action,Contemporary Fiction,24,6.2
Seabiscuit,148336445,86000000,2003,PG-13,141,Drama,Historical Fiction,77,7.4
Freaky Friday,160822438,26000000,2003,PG,97,Comedy,Contemporary Fiction,88,6.5
Freddy vs. Jason,114326122,25000000,2003,R,97,Horror,Contemporary Fiction,41,5.8
Open Range,68293719,26000000,2003,R,139,Western,Historical Fiction,79,7.5
Once Upon a Time in Mexico,98156459,29000000,2003,R,102,Action,Contemporary Fiction,68,6.2
Lost in Translation,106454000,4000000,2003,R,102,Drama,Contemporary Fiction,94,7.9
Underworld,95708457,22000000,2003,R,121,Action,Contemporary Fiction,30,6.7
Out of Time,55489826,50000000,2003,PG-13,105,Thriller,Contemporary Fiction,65,4.9
Mystic River,156835191,30000000,2003,R,137,Drama,Contemporary Fiction,87,8
Kill Bill: Volume 1,180098138,55000000,2003,R,111,Action,Contemporary Fiction,85,8.2
Intolerable Cruelty,121327628,60000000,2003,PG-13,100,Romantic Comedy,Contemporary Fiction,75,6.4
Scary Movie 3,155200000,45000000,2003,PG-13,84,Comedy,Contemporary Fiction,37,5.4
The Matrix Revolutions,424259759,110000000,2003,R,129,Action,Science Fiction,37,6.5
Elf,220443451,32000000,2003,PG,95,Comedy,Kids Fiction,84,6.8
Master and Commander: The Far Side of the World,209486484,135000000,2003,PG-13,138,Adventure,Historical Fiction,85,7.5
Bad Santa,60063017,18000000,2003,R,91,Comedy,Contemporary Fiction,77,7.3
The Missing,38253433,65000000,2003,R,137,Western,Historical Fiction,59,7.4
Honey,62192232,18000000,2003,PG-13,94,Drama,Contemporary Fiction,20,4.6
The Last Samurai,456810575,120000000,2003,R,154,Action,Historical Fiction,65,7.8
Big Fish,123432867,70000000,2003,PG-13,125,Drama,Fantasy,77,8.1
Something's Gotta Give,266685242,80000000,2003,PG-13,128,Romantic Comedy,Contemporary Fiction,70,6.8
Stuck On You,63537164,55000000,2003,PG-13,118,Comedy,Contemporary Fiction,60,5.9
Mona Lisa Smile,121598309,65000000,2003,PG-13,117,Drama,Historical Fiction,35,6.1
Cheaper by the Dozen,189714544,40000000,2003,PG,98,Comedy,Contemporary Fiction,24,5.6
Cold Mountain,161632614,80000000,2003,R,152,Drama,Historical Fiction,70,7.3
Paycheck,89350576,60000000,2003,PG-13,119,Thriller,Science Fiction,28,6.1
Peter Pan,95255485,100000000,2003,PG,113,Adventure,Fantasy,76,7.1
50 First Dates,196376832,75000000,2004,PG-13,99,Romantic Comedy,Contemporary Fiction,44,6.8
The Passion of the Christ,611899420,25000000,2004,R,127,Drama,Dramatization,50,7.1
Twisted,40119848,50000000,2004,R,97,Thriller,Contemporary Fiction,2,4.8
Hidalgo,107336658,78000000,2004,PG-13,136,Western,Historical Fiction,46,6.6
Starsky & Hutch,170200225,60000000,2004,PG-13,101,Comedy,Historical Fiction,64,6.2
Secret Window,92958031,40000000,2004,PG-13,96,Thriller,Fantasy,46,6.5
Dawn of the Dead,102290765,28000000,2004,R,100,Horror,Science Fiction,76,7.4
Eternal Sunshine of the Spotless Mind,47066518,20000000,2004,R,108,Comedy,Fantasy,93,8.5
Jersey Girl,37066129,35000000,2004,PG-13,102,Comedy,Contemporary Fiction,40,6.2
The Ladykillers,77692139,35000000,2004,R,104,Comedy,Contemporary Fiction,54,6.2
Hellboy,99823958,60000000,2004,PG-13,122,Action,Super Hero,81,6.8
Walking Tall,47313824,56000000,2004,PG-13,87,Action,Contemporary Fiction,25,6
Man on Fire,118706816,60000000,2004,R,146,Thriller,Contemporary Fiction,38,7.7
Mean Girls,128947227,18000000,2004,PG-13,97,Comedy,Contemporary Fiction,83,7
Van Helsing,300150546,170000000,2004,PG-13,132,Action,Historical Fiction,22,5.5
Troy,497398577,150000000,2004,R,163,Action,Historical Fiction,54,7
Shrek 2,919838758,70000000,2004,PG,92,Adventure,Kids Fiction,89,7.5
Raising Helen,43340302,50000000,2004,PG-13,119,Comedy,Contemporary Fiction,22,5.7
The Day After Tomorrow,544272402,125000000,2004,PG-13,124,Adventure,Science Fiction,46,6.3
Harry Potter and the Prisoner of Azkaban,795538952,130000000,2004,PG,141,Adventure,Fantasy,90,7.7
Napoleon Dynamite,46140956,400000,2004,PG,82,Comedy,Contemporary Fiction,70,6.9
The Chronicles of Riddick,107212751,120000000,2004,PG-13,119,Adventure,Science Fiction,29,6.4
The Stepford Wives,96221971,100000000,2004,PG-13,93,Comedy,Contemporary Fiction,26,5.1
Around the World in 80 Days,72004159,110000000,2004,PG,120,Adventure,Historical Fiction,30,5.6
The Terminal,218673959,75000000,2004,PG-13,128,Drama,Dramatization,60,7.1
Fahrenheit 9/11,222414517,6000000,2004,R,122,Documentary,Factual,83,7.6
White Chicks,111448997,20000000,2004,PG-13,109,Comedy,Contemporary Fiction,15,5
The Notebook,102276787,30000000,2004,PG-13,123,Drama,Contemporary Fiction,52,8
Spider-Man 2,783705001,200000000,2004,PG-13,127,Adventure,Super Hero,93,7.7
King Arthur,203877963,90000000,2004,PG-13,126,Adventure,Historical Fiction,31,6.2
The Bourne Supremacy,288587450,85000000,2004,PG-13,108,Action,Contemporary Fiction,81,7.6
Garden State,32381151,2500000,2004,R,109,Drama,Contemporary Fiction,86,7.9
The Manchurian Candidate,96148711,80000000,2004,R,129,Thriller,Historical Fiction,81,6.7
The Village,260197520,71682975,2004,PG-13,108,Thriller,Contemporary Fiction,42,6.6
Collateral,217670152,60000000,2004,R,120,Action,Contemporary Fiction,86,7.8
Cellular,45261739,45000000,2004,PG-13,94,Thriller,Contemporary Fiction,54,6.5
Ladder 49,102332848,60000000,2004,PG-13,105,Action,Contemporary Fiction,40,6.5
Shark Tale,367275019,75000000,2004,PG,90,Adventure,Kids Fiction,35,5.9
Friday Night Lights,61950770,30000000,2004,PG-13,117,Drama,Contemporary Fiction,81,7.2
Sideways,109705641,17000000,2004,R,125,Drama,Contemporary Fiction,97,7.8
The Incredibles,632882184,92000000,2004,PG,121,Adventure,Super Hero,97,8.1
The Polar Express,305420597,170000000,2004,G,99,Adventure,Kids Fiction,56,6.7
After the Sunset,38329114,57000000,2004,PG-13,97,Action,Contemporary Fiction,18,6.2
Finding Neverland,118676606,25000000,2004,PG,106,Drama,Historical Fiction,82,7.9
National Treasure,347405002,100000000,2004,PG,131,Adventure,Contemporary Fiction,44,6.9
Alexander,167297191,155000000,2004,R,175,Adventure,Dramatization,16,5.4
Closer,115987757,35000000,2004,R,104,Drama,Contemporary Fiction,68,2.9
The Life Aquatic with Steve Zissou,34806726,50000000,2004,R,118,Comedy,Contemporary Fiction,53,7.2
Ocean's Twelve,363531634,85000000,2004,PG-13,125,Adventure,Contemporary Fiction,55,6
Million Dollar Baby,216763646,30000000,2004,PG-13,132,Drama,Contemporary Fiction,91,8.2
The Aviator,214608827,110000000,2004,PG-13,170,Drama,Dramatization,88,7.6
Lemony Snicket's A Series of Unfortunate Events,201627117,100000000,2004,PG,108,Comedy,Kids Fiction,71,6.9
Spanglish,54344321,75000000,2004,PG-13,103,Comedy,Contemporary Fiction,52,6.7
Meet the Fockers,516567575,60000000,2004,PG-13,115,Comedy,Contemporary Fiction,38,6.4
The Phantom of the Opera,158225796,55000000,2004,PG-13,143,Musical,Historical Fiction,33,7.2
Fat Albert,48563556,45000000,2004,PG,93,Comedy,Contemporary Fiction,21,4
In Good Company,63489752,26000000,2004,PG-13,109,Comedy,Contemporary Fiction,84,6.8
Are We There Yet?,97918663,20000000,2005,PG,94,Romantic Comedy,Kids Fiction,12,4.2
Alone in the Dark,8178569,20000000,2005,R,96,Horror,Fantasy,1,2.3
Hitch,366784257,55000000,2005,PG-13,113,Romantic Comedy,Contemporary Fiction,69,5.7
Constantine,230884728,75000000,2005,R,122,Action,Contemporary Fiction,46,6.7
Be Cool,94849401,75000000,2005,PG-13,115,Comedy,Contemporary Fiction,30,5.6
The Pacifier,198006880,56000000,2005,PG,97,Comedy,Contemporary Fiction,20,5.3
Robots,260700012,80000000,2005,PG,89,Adventure,Kids Fiction,64,6.4
Sin City,158753820,40000000,2005,R,126,Action,Fantasy,77,8.3
The Interpreter,163954076,90000000,2005,PG-13,118,Thriller,Contemporary Fiction,58,6.5
Crash,98387109,6500000,2005,R,107,Drama,Contemporary Fiction,75,6.1
Monster-in-Law,155931301,45000000,2005,PG-13,95,Comedy,Contemporary Fiction,16,5.1
The Longest Yard,190320568,82000000,2005,PG-13,113,Comedy,Contemporary Fiction,31,6.2
Madagascar,532680671,75000000,2005,PG,83,Adventure,Kids Fiction,55,6.6
Cinderella Man,108539911,88000000,2005,PG-13,144,Drama,Dramatization,80,8
Batman Begins,372353017,150000000,2005,PG-13,140,Action,Super Hero,84,8.3
Bewitched,131413159,80000000,2005,PG-13,100,Comedy,Fantasy,24,4.8
Fantastic Four,330579719,87500000,2005,PG-13,123,Action,Super Hero,27,5.7
Charlie and the Chocolate Factory,474459076,150000000,2005,PG,115,Comedy,Kids Fiction,82,7.1
The Dukes of Hazzard,110570227,53000000,2005,PG-13,105,Comedy,Contemporary Fiction,13,4.7
Four Brothers,92494381,30000000,2005,R,109,Drama,Contemporary Fiction,52,6.8
The Exorcism of Emily Rose,144216468,18000000,2005,PG-13,114,Thriller,Dramatization,45,6.8
Serenity,38514517,39000000,2005,PG-13,119,Action,Science Fiction,81,8
Wallace & Gromit: The Curse of the Were-Rabbit,185724838,30000000,2005,G,85,Adventure,Kids Fiction,95,7.9
Domino,17759202,50000000,2005,R,133,Action,Dramatization,19,5.9
Elizabethtown,50719373,54000000,2005,PG-13,133,Drama,Contemporary Fiction,28,6.4
The Fog,37048526,18000000,2005,PG-13,101,Horror,Contemporary Fiction,5,3.3
Saw II,152925093,5000000,2005,R,91,Horror,Contemporary Fiction,36,6.8
The Legend of Zorro,141475336,80000000,2005,PG,129,Adventure,Historical Fiction,26,5.7
Chicken Little,314432738,60000000,2005,G,80,Adventure,Kids Fiction,36,5.8
Jarhead,96947540,72000000,2005,R,115,Drama,Dramatization,61,7.2
Harry Potter and the Goblet of Fire,896013036,150000000,2005,PG-13,157,Adventure,Fantasy,88,7.6
Walk the Line,184319402,29000000,2005,PG-13,80,Drama,Dramatization,82,7.9
Brokeback Mountain,180343761,13900000,2005,R,134,Drama,Historical Fiction,87,7.8
Memoirs of a Geisha,161510853,85000000,2005,PG-13,145,Drama,Historical Fiction,36,7.1
King Kong,550517357,207000000,2005,PG-13,187,Adventure,Fantasy,83,7.6
Cheaper by the Dozen 2,135015330,60000000,2005,PG,94,Comedy,Contemporary Fiction,7,5.2
The White Countess,2814566,16000000,2005,PG-13,135,Drama,Historical Fiction,51,6.5
Superman Returns,391120000,232000000,2006,PG-13,157,Adventure,Super Hero,76,6.6
Pirates of the Caribbean: Dead Man's Chest,1065659812,225000000,2006,PG-13,151,Adventure,Fantasy,54,7.3
Miami Vice,163818556,135000000,2006,R,132,Action,Contemporary Fiction,47,6
Step Up,115328121,12000000,2006,PG-13,98,Drama,Contemporary Fiction,19,6.1
Snakes on a Plane,62020814,33000000,2006,R,105,Thriller,Contemporary Fiction,68,6
The Covenant,38164784,20000000,2006,PG-13,95,Thriller,Contemporary Fiction,3,4.8
The Black Dahlia,46672813,60000000,2006,R,121,Thriller,Historical Fiction,33,5.6
Gridiron Gang,41480851,30000000,2006,PG-13,126,Drama,Dramatization,41,6.8
All the King's Men,9521458,55000000,2006,PG-13,128,Drama,Historical Fiction,11,6
Flyboys,14816379,60000000,2006,PG-13,139,Drama,Dramatization,33,6.5
The Last King of Scotland,48363516,6000000,2006,R,121,Drama,Dramatization,87,7.8
School for Scoundrels,17807569,20000000,2006,PG-13,101,Comedy,Contemporary Fiction,26,6
The Queen,122840603,15000000,2006,PG-13,103,Drama,Dramatization,97,7.6
The Departed,290539042,90000000,2006,R,152,Drama,Contemporary Fiction,93,8.5
Little Children,14763019,14000000,2006,R,136,Drama,Contemporary Fiction,79,7.8
One Night with the King,13395961,20000000,2006,PG,124,Drama,Historical Fiction,16,6
The Prestige,107896006,40000000,2006,PG-13,131,Thriller,Historical Fiction,75,8.4
Catch a Fire,5699773,14000000,2006,PG-13,101,Thriller,Dramatization,76,6.8
Saw III,163876815,10000000,2006,R,107,Horror,Contemporary Fiction,25,6.3
Flushed Away,177665672,149000000,2006,PG,85,Comedy,Kids Fiction,72,7
A Good Year,42064105,35000000,2006,PG-13,118,Drama,Contemporary Fiction,24,6.8
Stranger Than Fiction,45235190,30000000,2006,PG-13,112,Comedy,Contemporary Fiction,72,7.8
Bobby,20597806,14000000,2006,R,120,Drama,Dramatization,46,7.1
For Your Consideration,5549923,12000000,2006,PG-13,86,Comedy,Contemporary Fiction,50,6.2
Happy Feet,385000317,85000000,2006,PG,108,Adventure,Kids Fiction,74,6.7
Casino Royale,596365000,102000000,2006,PG-13,144,Action,Contemporary Fiction,94,8
The Fountain,15461638,35000000,2006,PG-13,96,Drama,Science Fiction,51,7.4
The Nativity Story,46432264,35000000,2006,PG,102,Drama,Dramatization,37,6.6
Apocalypto,117785051,40000000,2006,R,136,Adventure,Historical Fiction,64,7.9
Blood Diamond,171377916,100000000,2006,R,143,Action,Historical Fiction,62,8
The Holiday,205190324,85000000,2006,PG-13,131,Romantic Comedy,Contemporary Fiction,47,6.9
Charlotte's Web,143985708,82500000,2006,G,98,Drama,Fantasy,78,6.7
Dreamgirls,154965956,75000000,2006,PG-13,130,Musical,Historical Fiction,78,6.6
The Good German,1308696,32000000,2006,R,104,Drama,Historical Fiction,32,6.1
The Pursuit of Happyness,306086036,55000000,2006,PG-13,116,Drama,Dramatization,66,7.8
Letters from Iwo Jima,68756082,13000000,2006,R,141,Drama,Historical Fiction,91,8.1
Night at the Museum,574480841,110000000,2006,PG,108,Comedy,Fantasy,43,6.4
Children of Men,69450202,76000000,2006,R,114,Thriller,Science Fiction,93,8.1
Perfume: The Story of a Murderer,132180323,63700000,2006,R,147,Drama,Historical Fiction,58,7.5
Miss Potter,35025861,30000000,2006,PG,92,Drama,Dramatization,66,7.1
Code Name: The Cleaner,8135024,20000000,2007,PG-13,91,Comedy,Contemporary Fiction,4,4
Freedom Writers,43090741,21000000,2007,PG-13,122,Drama,Dramatization,69,7.5
Epic Movie,86858578,20000000,2007,PG-13,86,Comedy,Contemporary Fiction,2,2.2
Smokin' Aces,56047261,17000000,2007,R,108,Comedy,Contemporary Fiction,28,6.6
Hannibal Rising,80583311,50000000,2007,R,121,Thriller,Historical Fiction,15,6
Ghost Rider,237702596,120000000,2007,PG-13,110,Action,Super Hero,26,5.2
The Number 23,76593167,32000000,2007,R,95,Thriller,Contemporary Fiction,8,6.2
300,456068181,60000000,2007,R,117,Action,Historical Fiction,60,7.8
I Think I Love My Wife,13205411,14000000,2007,R,94,Romantic Comedy,Contemporary Fiction,19,5.5
Reign Over Me,20081987,20000000,2007,R,128,Drama,Historical Fiction,63,7.7
Shooter,95203582,60000000,2007,R,125,Thriller,Contemporary Fiction,48,7.2
The Reaping,62226214,40000000,2007,R,100,Horror,Fantasy,8,5.6
Disturbia,117573043,20000000,2007,PG-13,104,Thriller,Contemporary Fiction,68,7
Hot Fuzz,79197493,16000000,2007,R,121,Comedy,Contemporary Fiction,91,8
Lucky You,6521829,55000000,2007,PG-13,122,Drama,Historical Fiction,28,5.9
Spider-Man 3,890871626,258000000,2007,PG-13,139,Adventure,Super Hero,63,6.4
Georgia Rule,20819601,20000000,2007,R,111,Drama,Contemporary Fiction,17,5.8
Pirates of the Caribbean: At World's End,960996492,300000000,2007,PG-13,167,Adventure,Fantasy,45,7
Knocked Up,218994109,27500000,2007,R,132,Romantic Comedy,Contemporary Fiction,90,7.5
Ocean's Thirteen,311744465,85000000,2007,PG-13,122,Adventure,Contemporary Fiction,70,6.9
Evan Almighty,173219280,175000000,2007,PG,78,Comedy,Fantasy,23,5.5
A Mighty Heart,18932117,15000000,2007,R,100,Drama,Dramatization,78,6.7
You Kill Me,2426851,4000000,2007,R,92,Black Comedy,Contemporary Fiction,78,6.7
Live Free or Die Hard,383531464,110000000,2007,PG-13,128,Action,Contemporary Fiction,82,7.5
Ratatouille,620495432,150000000,2007,G,111,Comedy,Fantasy,96,8.1
License to Wed,70799818,35000000,2007,PG,90,Romantic Comedy,Contemporary Fiction,7,5.1
Transformers,708272592,151000000,2007,PG-13,140,Action,Science Fiction,57,7.3
Harry Potter and the Order of the Phoenix,938468864,150000000,2007,PG-13,138,Adventure,Fantasy,78,7.4
Hairspray,202823091,75000000,2007,PG,117,Musical,Historical Fiction,91,7.2
I Now Pronounce You Chuck and Larry,185708462,85000000,2007,PG-13,115,Comedy,Contemporary Fiction,14,6.1
Sunshine,32030610,40000000,2007,R,108,Thriller,Science Fiction,74,7.3
The Simpsons Movie,527071022,72500000,2007,PG-13,86,Comedy,Contemporary Fiction,89,7.6
The Bourne Ultimatum,442161562,130000000,2007,PG-13,114,Action,Contemporary Fiction,93,8.2
Rush Hour 3,253025968,180000000,2007,PG-13,91,Action,Contemporary Fiction,19,6
Stardust,135556675,70000000,2007,PG-13,128,Adventure,Fantasy,76,7.9
Death at a Funeral,34743644,20000000,2007,R,90,Comedy,Contemporary Fiction,61,5.1
Superbad,169863226,17500000,2007,R,112,Comedy,Contemporary Fiction,87,7.8
3:10 to Yuma,69791889,48000000,2007,R,117,Western,Historical Fiction,89,7.9
In the Valley of Elah,24489150,23000000,2007,R,120,Drama,Dramatization,73,7.4
Into the Wild,53813837,20000000,2007,R,147,Drama,Contemporary Fiction,82,8.2
Resident Evil: Extinction,146162920,45000000,2007,R,95,Action,Science Fiction,22,6.2
The Game Plan,147914546,22000000,2007,PG,110,Comedy,Contemporary Fiction,27,6.3
The Kingdom,86509602,72500000,2007,R,110,Action,Contemporary Fiction,51,7.1
We Own the Night,54700285,28000000,2007,R,117,Drama,Contemporary Fiction,56,7
Rendition,20437142,27500000,2007,R,121,Thriller,Contemporary Fiction,46,6.9
American Gangster,265697825,100000000,2007,R,157,Drama,Dramatization,79,7.9
Bee Movie,287594577,150000000,2007,PG,90,Comedy,Kids Fiction,51,6.3
Lions for Lambs,63211088,35000000,2007,R,90,Drama,Contemporary Fiction,27,6.2
Beowulf,194995215,150000000,2007,PG-13,115,Adventure,Fantasy,70,6.6
Love in the Time of Cholera,31077418,45000000,2007,R,139,Drama,Historical Fiction,27,6.2
Redacted,65388,5000000,2007,R,90,Drama,Dramatization,44,6.1
Enchanted,340384141,85000000,2007,PG,108,Romantic Comedy,Fantasy,92,7.5
The Mist,54777490,13000000,2007,R,127,Horror,Science Fiction,73,7.4
Juno,230327671,7000000,2007,PG-13,95,Comedy,Contemporary Fiction,93,7.9
Atonement,129425746,30000000,2007,R,130,Drama,Contemporary Fiction,83,7.9
Alvin and the Chipmunks,360578644,55000000,2007,PG,92,Comedy,Kids Fiction,27,5.5
The Kite Runner,73222245,20000000,2007,PG-13,122,Drama,Contemporary Fiction,66,7.8
I am Legend,585055701,150000000,2007,PG-13,100,Horror,Science Fiction,69,7.1
The Great Debaters,30226144,15000000,2007,PG-13,130,Drama,Dramatization,79,7.6
Welcome Home Roscoe Jenkins,43607627,27500000,2008,PG-13,114,Comedy,Contemporary Fiction,23,4.5
88 Minutes,32955399,30000000,2008,R,106,Thriller,Contemporary Fiction,5,5.9
The Forbidden Kingdom,129075270,55000000,2008,PG-13,105,Action,Fantasy,64,6.7
Iron Man,582604126,186000000,2008,PG-13,126,Action,Super Hero,94,7.9
The Happening,163403799,60000000,2008,R,89,Thriller,Science Fiction,18,5.2
The Incredible Hulk,263349257,137500000,2008,PG-13,112,Adventure,Super Hero,66,7.1
WALL-E,532743103,180000000,2008,G,97,Comedy,Kids Fiction,96,8.5
Wanted,340934768,75000000,2008,R,110,Action,Science Fiction,71,6.4
The Dark Knight,1022345358,185000000,2008,PG-13,152,Action,Super Hero,93,8.9
The Mummy: Tomb of the Dragon Emperor,397912118,175000000,2008,PG-13,111,Adventure,Fantasy,13,5.1
Tropic Thunder,188163455,90000000,2008,R,106,Comedy,Contemporary Fiction,83,7.2
The Rocker,8767338,15000000,2008,PG-13,102,Comedy,Contemporary Fiction,40,6.3
