Name,Sex,Age,Country,Sport,Year,Bronze Medal,Gold Medal,Silver Medal,Total Medal
Emanuela Pierantozzi,F,32,Italy,Judo,2000,1,0,0,1
Fu Haifeng,M,32,China-1,Badminton,2016,0,1,0,1
Frode Andresen,M,32,Norway,Biathlon,2006,1,0,0,1
Kateina Neumannov,F,32,Czech Republic,CrossCountry Skiing,2006,0,1,1,2
Angela Tama-Alupei,F,32,Romania,Rowing,2004,0,1,0,1
Sergei Aschwanden,M,32,Switzerland,Judo,2008,1,0,0,1
Andreas Dittmer,M,32,Germany,Canoeing,2004,0,1,1,2
Andreas Hajek,M,32,Germany,Rowing,2000,1,0,0,1
Mark Covell,M,32,Great Britain,Sailing,2000,0,0,1,1
Mariya Zdravkova Grozdeva (Grigorova-),F,32,Bulgaria,Shooting,2004,1,1,0,2
Vadim Gennadyevich Makhnyov,M,32,Belarus,Canoeing,2012,0,0,1,1
Salvatore Sanzo,M,32,Italy,Fencing,2008,1,0,0,1
Andrea Barno San Martn,F,32,Spain,Handball,2012,1,0,0,1
Ju Se-Hyeok,M,32,South Korea,Table Tennis,2012,0,0,1,1
Marlies Schild (-Raich),F,32,Austria,Alpine Skiing,2014,0,0,1,1
Sami Olavi Jauhojrvi,M,32,Finland,CrossCountry Skiing,2014,0,1,0,1
Andrea Henkel (-Burke),F,32,Germany,Biathlon,2010,1,0,0,1
Valentin Demyanenko,M,32,Azerbaijan,Canoeing,2016,0,0,1,1
Judit Simics-Zsemberi,F,32,Hungary,Handball,2000,0,0,1,1
Andreas Linger,M,32,Austria-1,Luge,2014,0,0,1,1
"Mariel Margaret ""Mia"" Hamm (-Corry, -Garciaparra)",F,32,United States,Football,2004,0,1,0,1
Marie-ve Drolet,F,32,Canada,Short Track Speed Skating,2014,0,0,1,1
Kaeo Pongprayoon,M,32,Thailand,Boxing,2012,0,0,1,1
Gbor Horvth,M,32,Hungary,Canoeing,2004,0,1,0,1
Seimone Delicia Augustus,F,32,United States,Basketball,2016,0,1,0,1
Troy Matthew Bek Dumais,M,32,United States,Diving,2012,1,0,0,1
Mariana Alejandra Gonzlez Oliva Gulla,F,32,Argentina,Hockey,2008,1,0,0,1
"Trisha Nicole ""Trish"" Fallon (-Dykstra)",F,32,Australia,Basketball,2004,0,0,1,1
Gauthier Grumier,M,32,France,Fencing,2016,1,1,0,2
Kamilla Rytter Juhl,F,32,Denmark,Badminton,2016,0,0,1,1
Andreas Tlzer,M,32,Germany,Judo,2012,1,0,0,1
Sarah Kathryn Hammer (-Sparks),F,32,United States,Cycling,2016,0,0,2,2
Kazuhiro Wada,M,32,Japan,Baseball,2004,1,0,0,1
Anik Kntor,F,32,Hungary,Handball,2000,0,0,1,1
Tams Kss,M,32,Hungary,Water Polo,2008,0,1,0,1
Flix Savn Fabr,M,32,Cuba,Boxing,2000,0,1,0,1
Larisa Nikolayevna Kurkina,F,32,Russia,CrossCountry Skiing,2006,0,1,0,1
Talant Mushanbetovich Duyshebayev,M,32,Spain,Handball,2000,1,0,0,1
Takuya Kimura,M,32,Japan,Baseball,2004,1,0,0,1
Takeshi Matsuda,M,32,Japan,Swimming,2016,1,0,0,1
Espen Stokkeland,M,32,Norway,Sailing,2000,1,0,0,1
"Stephen David ""Steve"" Williams",M,32,Great Britain,Rowing,2008,0,1,0,1
Tang Chunling,F,32,China,Hockey,2008,0,0,1,1
Loredana Dinu (Iordchioiu-),F,32,Romania,Fencing,2016,0,1,0,1
Stefanie Bhler,F,32,Germany,CrossCountry Skiing,2014,1,0,0,1
Francesca Cristiana Conti,F,32,Italy,Water Polo,2004,0,1,0,1
Florian Kunz,M,32,Germany,Hockey,2004,1,0,0,1
Tara Alice Whitten,F,32,Canada,Cycling,2012,1,0,0,1
Stephan Eberharter,M,32,Austria,Alpine Skiing,2002,1,1,1,3
Larysa Leonidivna Zaspa,F,32,Ukraine,Handball,2004,1,0,0,1
Lasse Jemon Svan Hansen,M,32,Denmark,Handball,2016,0,1,0,1
Sunette Stella Viljoen,F,32,South Africa,Athletics,2016,0,0,1,1
Lianne McLellan Nelson-Bennion,F,32,United States,Rowing,2004,0,0,1,1
Susan O'Connor,F,32,Canada,Curling,2010,0,0,1,1
Lene Rantala,F,32,Denmark,Handball,2000,0,1,0,1
"Fabiana ""Fabi"" Alvim de Oliveira",F,32,Brazil,Volleyball,2012,0,1,0,1
Fabien Pierre Aurlien Dominique Gilot,M,32,France,Swimming,2016,0,0,1,1
Antti Akseli Laaksonen,M,32,Finland,Ice Hockey,2006,0,0,1,1
Lasse Juhani Kukkonen,M,32,Finland,Ice Hockey,2014,1,0,0,1
"Fernanda ""Fernandinha"" Ferreira",F,32,Brazil,Volleyball,2012,0,1,0,1
Laura lodie Flessel-Colovic,F,32,France,Fencing,2004,1,0,1,2
Christian Gille,M,32,Germany,Canoeing,2008,1,0,1,2
Linn-Kristin Ullevoldster Riegelhuth Koren,F,32,Norway,Handball,2016,1,0,0,1
Laurent Porchier,M,32,France,Rowing,2000,0,1,0,1
Eunice Jepkirui Kirwa,F,32,Bahrain,Athletics,2016,0,0,1,1
Lindsey Napela Berg,F,32,United States,Volleyball,2012,0,0,1,1
"Swintayla Marie ""Swin"" Cash",F,32,United States,Basketball,2012,0,1,0,1
"Stefanie ""Steffi"" Nerius",F,32,Germany,Athletics,2004,0,0,1,1
Maaike Christiane Head,F,32,Netherlands,Rowing,2016,0,1,0,1
"Khrysopigi ""Pigi"" Devetzi",F,32,Greece,Athletics,2008,1,0,0,1
Kim Dong-Ju,M,32,South Korea,Baseball,2008,0,1,0,1
Frantiek Kaberle,M,32,Czech Republic,Ice Hockey,2006,1,0,0,1
Simone Buti,M,32,Italy,Volleyball,2016,0,0,1,1
Kim Jeong-Hwan,M,32,South Korea,Fencing,2016,1,0,0,1
Franoise Mbango Etone,F,32,Cameroon,Athletics,2008,0,1,0,1
Slavko Golua,M,32,Croatia,Handball,2004,0,1,0,1
Kerstin Szymkowiak (Jrgens-),F,32,Germany,Skeleton,2010,0,0,1,1
Luiz Felipe Marques Fonteles,M,32,Brazil,Volleyball,2016,0,1,0,1
Luk Bauer,M,32,Czech Republic,CrossCountry Skiing,2010,2,0,0,2
Lydia Ierodiaconou-Lassila,F,32,Australia,Freestyle Skiing,2014,1,0,0,1
Silke Rottenberg,F,32,Germany,Football,2004,1,0,0,1
Thomas Peter Lurz,M,32,Germany,Swimming,2012,0,0,1,1
Anna Maree Devenish Meares,F,32,Australia,Cycling,2016,1,0,0,1
Terry Michael Brands,M,32,United States,Wrestling,2000,1,0,0,1
Krista Guloien,F,32,Canada,Rowing,2012,0,0,1,1
Kristin Strmer Steira,F,32,Norway,CrossCountry Skiing,2014,1,0,0,1
Kristina Joana Reynolds,F,32,Germany,Hockey,2016,1,0,0,1
Kristina migun-Vhi,F,32,Estonia,CrossCountry Skiing,2010,0,0,1,1
Teemu Matti Tapani Salo,M,32,Finland,Curling,2006,0,0,1,1
Stefan Groothuis,M,32,Netherlands,Speed Skating,2014,0,1,0,1
Tatyana Romanovna Lebedeva,F,32,Russia,Athletics,2008,0,0,2,2
Frank Ostholt,M,32,Germany,Equestrianism,2008,0,1,0,1
Kirsten Irene Merian van der Kolk (-Aardewijn),F,32,Netherlands,Rowing,2008,0,1,0,1
Anna Sergeyevna Sedoykina,F,32,Russia,Handball,2016,0,1,0,1
Anna-Carin Helena Cecilia Olofsson-Zidek,F,32,Sweden,Biathlon,2006,0,1,1,2
Lu Xiaojun,M,32,China,Weightlifting,2016,0,0,1,1
Knut Holmann,M,32,Norway,Canoeing,2000,0,2,0,2
Andrea Bari,M,32,Italy,Volleyball,2012,1,0,0,1
Vasilios Polymeros,M,32,Greece,Rowing,2008,0,0,1,1
Brenda Villa,F,32,United States,Water Polo,2012,0,1,0,1
Mathias Boe,M,32,Denmark,Badminton,2012,0,0,1,1
Mathieu Lemoine,M,32,France,Equestrianism,2016,0,1,0,1
Dmitry Nikolayevich Torgovanov,M,32,Russia,Handball,2004,1,0,0,1
Rulon E. Gardner,M,32,United States,Wrestling,2004,1,0,0,1
Michael Walter Mathieu,M,32,Bahamas,Athletics,2016,1,0,0,1
Michaela Dorfmeister,F,32,Austria,Alpine Skiing,2006,0,2,0,2
Jol Georges Chenal Jacquet,M,32,France,Alpine Skiing,2006,0,0,1,1
"Joseph Steven ""Joe"" Sakic",M,32,Canada,Ice Hockey,2002,0,1,0,1
Bojana Popovi (Petrovi-),F,32,Montenegro,Handball,2012,0,0,1,1
Viorica Susanu,F,32,Romania,Rowing,2008,1,1,0,2
Doug Sharp,M,32,United States-2,Bobsleigh,2002,1,0,0,1
Anders Niclas Hvelid,M,32,Sweden,Ice Hockey,2006,0,1,0,1
Robyn Mokihana Ah Mow-Santos,F,32,United States,Volleyball,2008,0,0,1,1
Dirk Van Tichelt,M,32,Belgium,Judo,2016,1,0,0,1
Michal Llodra,M,32,France-1,Tennis,2012,0,0,1,1
Dmitry Stepanovich Shevchenko,M,32,Russia,Fencing,2000,1,0,0,1
Gianpiero Pastore,M,32,Italy,Fencing,2008,1,0,0,1
Dominic Seiterle,M,32,Canada,Rowing,2008,0,1,0,1
Brandon Michael Knight,M,32,United States,Baseball,2008,1,0,0,1
Boaz Cornelius Meylink,M,32,Netherlands,Rowing,2016,1,0,0,1
Brahim Lahlafi,M,32,Morocco,Athletics,2000,1,0,0,1
Giacomo Pastorino,M,32,Italy,Water Polo,2012,0,0,1,1
Anastasiya Aleksandrovna Kapachinskaya,F,32,Russia,Athletics,2012,0,0,1,1
Blanka Vlai,F,32,Croatia,Athletics,2016,1,0,0,1
Dmitry Yevgenyevich Dugin,M,32,Russia,Water Polo,2000,0,0,1,1
Michael John York,M,32,Australia,Hockey,2000,1,0,0,1
Girolamo Giovinazzo,M,32,Italy,Judo,2000,1,0,0,1
Maurren Higa Maggi,F,32,Brazil,Athletics,2008,0,1,0,1
Vivian Jepkemoi Cheruiyot,F,32,Kenya,Athletics,2016,0,1,1,2
Georgia Gould,F,32,United States,Cycling,2012,1,0,0,1
"Robert William ""Bobby"" Julich",M,32,United States,Cycling,2004,0,0,1,1
Amy Turner,F,32,Australia,Rugby Sevens,2016,0,1,0,1
"Valeska ""Valeskinha"" dos Santos Menezes",F,32,Brazil,Volleyball,2008,0,1,0,1
Melanie Kate Wilson,F,32,Great Britain,Rowing,2016,0,0,1,1
Mary Rebecca Whipple,F,32,United States,Rowing,2012,0,1,0,1
John Clark LeClair,M,32,United States,Ice Hockey,2002,0,0,1,1
Andr Heller,M,32,Brazil,Volleyball,2008,0,0,1,1
Martin Schmitt,M,32,Germany,Ski Jumping,2010,0,0,1,1
Dimitra Asilian,F,32,Greece,Water Polo,2004,0,0,1,1
Maya Lawrence,F,32,United States,Fencing,2012,1,0,0,1
Georgeta Damian-Andrunache,F,32,Romania,Rowing,2008,1,1,0,2
Ryoko Tamura-Tani,F,32,Japan,Judo,2008,1,0,0,1
Sabine Vlker,F,32,Germany,Speed Skating,2006,0,1,0,1
Victor Alexander Feddersen,M,32,Denmark,Rowing,2000,1,0,0,1
Ryan Bailey,M,32,United States,Water Polo,2008,0,0,1,1
An Kum-Ae,F,32,North Korea,Judo,2012,0,1,0,1
"Jonathan A. ""Jon"" Drummond",M,32,United States,Athletics,2000,0,1,0,1
"Mary Abigail ""Abby"" Wambach",F,32,United States,Football,2012,0,1,0,1
Sachiko Ito,F,32,Japan,Softball,2008,0,1,0,1
Ryan Steven Lochte,M,32,United States,Swimming,2016,0,1,0,1
Ronald Layne Beaubien,M,32,United States,Water Polo,2008,0,0,1,1
Giorgi Gogshelidze,M,32,Georgia,Wrestling,2012,1,0,0,1
Alison Jane Williamson (-Conaghan),F,32,Great Britain,Archery,2004,1,0,0,1
Gojko Pijetlovi,M,32,Serbia,Water Polo,2016,0,1,0,1
Edith Bosch,F,32,Netherlands,Judo,2012,1,0,0,1
Luis Alberto Prez Rionda,M,31,Cuba,Athletics,2000,1,0,0,1
Mohamed El-Sayed,M,31,Egypt,Boxing,2004,1,0,0,1
Isabelle Charest (-Charbonneau),F,31,Canada,Short Track Speed Skating,2002,1,0,0,1
"Patricia ""Tricia"" Dunn-Luoma",F,31,United States,Ice Hockey,2006,1,0,0,1
Imke Anne Marian Schellekens-Bartels,F,31,Sunrise,Equestrianism,2008,0,0,1,1
Istvn Gergely,M,31,Hungary,Water Polo,2008,0,1,0,1
Franck Robert Bernard Solforosi,M,31,France,Rowing,2016,1,0,0,1
Kevin Kuske,M,31,Germany-1,Bobsleigh,2010,0,1,1,2
Iker Martnez de Lizarduy Lizarribar,M,31,Spain,Sailing,2008,0,0,1,1
Mkhitar Razmikovich Manukyan,M,31,Kazakhstan,Wrestling,2004,1,0,0,1
John Morris,M,31,Canada,Curling,2010,0,1,0,1
Khaled Al-Eid,M,31,Saudi Arabia,Equestrianism,2000,1,0,0,1
Heather Jane McDermid,F,31,Canada,Rowing,2000,1,0,0,1
Heather Mary Stanning,F,31,Great Britain,Rowing,2016,0,1,0,1
Morten Olsen,M,31,Denmark,Handball,2016,0,1,0,1
Paola Pezzo,F,31,Italy,Cycling,2000,0,1,0,1
Morten Jrgensen,M,31,Denmark,Rowing,2016,0,0,1,1
Meng Guanliang,M,31,China,Canoeing,2008,0,1,0,1
Lucie Hradeck,F,31,Czech Republic,Tennis,2016,1,0,0,1
Igor Vori,M,31,Croatia,Handball,2012,1,0,0,1
Kim St-Pierre,F,31,Canada,Ice Hockey,2010,0,1,0,1
Kim Jong-Hyeon,M,31,South Korea,Shooting,2016,0,0,1,1
Irak'li Turmanidze,M,31,Georgia,Weightlifting,2016,1,0,0,1
Pablo Prigioni,M,31,Argentina,Basketball,2008,1,0,0,1
Franois Pervis,M,31,France,Cycling,2016,1,0,0,1
Kim Lammers,F,31,Netherlands,Hockey,2012,0,1,0,1
Jonas Daniel Gustav Kllman,M,31,Sweden,Handball,2012,0,0,1,1
Jonas Hgh Christensen,M,31,Denmark,Sailing,2012,0,0,1,1
Eric V. Fonoimoana,M,31,United States-1,Beach Volleyball,2000,0,1,0,1
Hege Riise,F,31,Norway,Football,2000,0,1,0,1
"Melissa ""Mel"" Rippon",F,31,Australia,Water Polo,2012,1,0,0,1
Kim Gi-Tae,M,31,South Korea,Baseball,2000,1,0,0,1
Luc Abalo,M,31,France,Handball,2016,0,0,1,1
Pascal Guy Gentil,M,31,France,Taekwondo,2004,1,0,0,1
Denis efik,M,31,Serbia,Water Polo,2008,1,0,0,1
Pascal Andr Jean Touron,M,31,France,Rowing,2004,0,0,1,1
Clarinda Maria Sinnige,F,31,Netherlands,Hockey,2004,0,0,1,1
Lucas Rafael Rossi,M,31,Argentina,Hockey,2016,0,1,0,1
Moritz Frste,M,31,Germany,Hockey,2016,1,0,0,1
Irina Lashko (-Furler-),F,31,Australia,Diving,2004,1,0,0,1
Irina Anatolyevna Privalova (Sergeyeva-),F,31,Russia,Athletics,2000,1,1,0,2
Kim Gyeong-A,F,31,South Korea,Table Tennis,2008,1,0,0,1
Park Jin-Man,M,31,South Korea,Baseball,2008,0,1,0,1
Ferenc Novk,M,31,Hungary,Canoeing,2000,0,1,0,1
Laurent Jacques Andr Gan,M,31,France,Cycling,2004,1,0,0,1
Horia Tecu,M,31,Romania,Tennis,2016,0,0,1,1
Michele Mian,M,31,Italy,Basketball,2004,0,0,1,1
Lasse Kjus (Kristoffersen-),M,31,Norway,Alpine Skiing,2002,1,0,1,2
Mikls Ungvri,M,31,Hungary,Judo,2012,0,0,1,1
Christine Smith Collins,F,31,United States,Rowing,2000,1,0,0,1
Lionel Cox,M,31,Belgium,Shooting,2012,0,0,1,1
Lauren Elizabeth Jackson,F,31,Australia,Basketball,2012,1,0,0,1
Diego Occhiuzzi,M,31,Italy,Fencing,2012,1,0,1,2
Christian Ramota,M,31,Germany,Handball,2004,0,0,1,1
Leszek Robert Blanik,M,31,Poland,Gymnastics,2008,0,1,0,1
Leire Olaberria Dorronsoro,F,31,Spain,Cycling,2008,1,0,0,1
Michellie Yvonne Jones,F,31,Australia,Triathlon,2000,0,0,1,1
Lidia Valentn Prez,F,31,Spain,Weightlifting,2016,1,0,0,1
Libor Capalini,M,31,Czech Republic,Modern Pentathlon,2004,1,0,0,1
Liam Nicholas Heath,M,31,Great Britain,Canoeing,2016,0,1,1,2
Lee Seung-Yeop,M,31,South Korea,Baseball,2008,0,1,0,1
Hitomi Obara (Sakamoto-),F,31,Japan,Wrestling,2012,0,1,0,1
Li Na,F,31,China,Fencing,2012,0,1,0,1
Michal Riszdorfer,M,31,Slovakia,Canoeing,2008,0,0,1,1
Ibragim Magomed-Saidovich Saidov,M,31,Belarus,Wrestling,2016,1,0,0,1
"Christopher Phillip ""Chris"" Langridge",M,31,Great Britain,Badminton,2016,1,0,0,1
"Michael Fred Phelps, II",M,31,United States,Swimming,2016,0,5,1,6
Lorenzo Sotomayor Collazo,M,31,Azerbaijan,Boxing,2016,0,0,1,1
Henrik Mllgaard Jensen,M,31,Denmark,Handball,2016,0,1,0,1
"Miroslava ""Mirka"" Topinkov Knapkov",F,31,Czech Republic,Rowing,2012,0,1,0,1
Melania Grego,F,31,Italy,Water Polo,2004,0,1,0,1
"Ernest Wesley ""Ernie"" Young",M,31,United States,Baseball,2000,0,1,0,1
Fabio Maj,M,31,Italy,CrossCountry Skiing,2002,0,0,1,1
Deon Marie Hemmings,F,31,Jamaica,Athletics,2000,0,0,2,2
Ida Alstad,F,31,Norway,Handball,2016,1,0,0,1
Grgory Benot Baug,M,31,France,Cycling,2016,1,0,0,1
Derek Parra,M,31,United States,Speed Skating,2002,0,1,1,2
Michael Neumayer,M,31,Germany,Ski Jumping,2010,0,0,1,1
"Michael Paul ""Mike"" Koplove",M,31,United States,Baseball,2008,1,0,0,1
Larisa Nikolayevna Kruglova,F,31,Russia,Athletics,2004,0,0,1,1
Minke Gertine Booij,F,31,Netherlands,Hockey,2008,0,1,0,1
"Michael Thomas ""Mike"" Modano, Jr.",M,31,United States,Ice Hockey,2002,0,0,1,1
Michael Uhrmann,M,31,Germany,Ski Jumping,2010,0,0,1,1
Paul Kibii Tergat,M,31,Kenya,Athletics,2000,0,0,1,1
Erzsbet Mrkus-Peresztegi,F,31,Hungary,Weightlifting,2000,0,0,1,1
Michal Eryk Lasko,M,31,Italy,Volleyball,2012,1,0,0,1
"Johanna Dorotheo Maria ""Janneke"" Schopman",F,31,Netherlands,Hockey,2008,0,1,0,1
Greg Van Avermaet,M,31,Belgium,Cycling,2016,0,1,0,1
Hugues Obry,M,31,France,Fencing,2004,0,1,0,1
"Christopher Clive ""Chris"" Froome",M,31,Great Britain,Cycling,2016,1,0,0,1
Florin Mergea,M,31,Romania,Tennis,2016,0,0,1,1
Florin Gelu Zalomir,M,31,Romania,Fencing,2012,0,0,1,1
Minna Eliisa Nieminen,F,31,Finland,Rowing,2008,0,0,1,1
Dmitry Rudolfovich Filippov,M,31,Russia,Handball,2000,0,1,0,1
Logan Maile Lei Tom,F,31,United States,Volleyball,2012,0,0,1,1
"Christopher ""Chris"" Thorpe",M,31,United States-1,Luge,2002,1,0,0,1
Florence  Andre Isabelle Baverel-Robert,F,31,France,Biathlon,2006,1,1,0,2
Lobke Berkhout,F,31,Netherlands,Sailing,2012,1,0,0,1
Gu Dae-Seong,M,31,South Korea,Baseball,2000,1,0,0,1
Gemma Mengual Civil,F,31,Spain,Synchronized Swimming,2008,0,0,2,2
"Nicholas Robert ""Nick"" Rogers",M,31,Great Britain,Sailing,2008,0,0,1,1
Matas Rey,M,31,Argentina,Hockey,2016,0,1,0,1
"Genevra ""Gevvie"" Stone",F,31,United States,Rowing,2016,0,0,1,1
Mariel Leigh Zagunis,F,31,United States,Fencing,2016,1,0,0,1
Jenny Wolf (-Lotze),F,31,Germany,Speed Skating,2010,0,0,1,1
Eeke Geertruida van Nes,F,31,Netherlands,Rowing,2000,0,0,2,2
Norihiro Nakamura,M,31,Japan,Baseball,2004,1,0,0,1
"Jennifer Elisabeth ""Jenny"" Thompson (-Cumpelik)",F,31,United States,Swimming,2004,0,0,2,2
Mario-Elio Gyr,M,31,Switzerland,Rowing,2016,0,1,0,1
Justyna Kowalczyk,F,31,Poland,CrossCountry Skiing,2014,0,1,0,1
Janeth dos Santos Arcain,F,31,Brazil,Basketball,2000,1,0,0,1
"Jennifer Lynn ""Jenny"" Schmidgall-Potter",F,31,United States,Ice Hockey,2010,0,0,1,1
Massimo Colaci,M,31,Italy,Volleyball,2016,0,0,1,1
"Nwanyika Jenete C. ""Anyika"" Onuora",F,31,Great Britain,Athletics,2016,1,0,0,1
"Daniel ""Dan"" Hamhuis",M,31,Canada,Ice Hockey,2014,0,1,0,1
Oksana Ivanovna Yermakova,F,31,Russia,Fencing,2004,0,1,0,1
Oksana Yevgenyevna Rakhmatulina (Anufrieva-),F,31,Russia,Basketball,2008,1,0,0,1
Maria Fernanda Moreira Ribeiro,F,31,Portugal,Athletics,2000,1,0,0,1
Hans Peter Ludvig Gentzel,M,31,Sweden,Handball,2000,0,0,1,1
David Douillet,M,31,France,Judo,2000,0,1,0,1
"Matthew D. ""Matt"" Emmons",M,31,United States,Shooting,2012,1,0,0,1
"Maria Aaltje ""Marianne"" Timmer",F,31,Netherlands,Speed Skating,2006,0,1,0,1
James Rodwell,M,31,Great Britain,Rugby Sevens,2016,0,0,1,1
"Matthew E. ""Matt"" Hemingway",M,31,United States,Athletics,2004,0,0,1,1
David Davis Cmara,M,31,Spain,Handball,2008,1,0,0,1
Daima Mayelis Beltrn Guisado,F,31,Cuba,Judo,2004,0,0,1,1
Oksana Yuryevna Grishina,F,31,Russia,Cycling,2000,0,0,1,1
Ola Vigen Hattestad,M,31,Norway,CrossCountry Skiing,2014,0,1,0,1
Jeong Gil-Ok,F,31,South Korea,Fencing,2012,1,0,0,1
Jan Olof Daniel Richardsson,M,31,Sweden,CrossCountry Skiing,2014,1,1,0,2
Duko Pijetlovi,M,31,Serbia,Water Polo,2016,0,1,0,1
Jeremy Michael Cummings,M,31,United States,Baseball,2008,1,0,0,1
Jan Fredrik Modin,M,31,Sweden,Ice Hockey,2006,0,1,0,1
Jared Tallent,M,31,Australia,Athletics,2016,0,0,1,1
Danijel Premu,M,31,Italy,Water Polo,2012,0,0,1,1
Danielle Woodhouse (Gusterson-),F,31,Australia,Water Polo,2000,0,1,0,1
Niklas Oskar Bckstrm,M,31,Finland,Ice Hockey,2010,1,0,0,1
Juan Martn Lpez,M,31,Argentina,Hockey,2016,0,1,0,1
"Edward ""Ed"" Clancy",M,31,Great Britain,Cycling,2016,0,1,0,1
Nika Kaleb,M,31,Croatia,Handball,2004,0,1,0,1
Mark Simon Cavendish,M,31,Great Britain,Cycling,2016,0,0,1,1
Halil Mutlu,M,31,Turkey,Weightlifting,2004,0,1,0,1
Mark Robertson,M,31,Great Britain,Rugby Sevens,2016,0,0,1,1
Dante Guimares Santos do Amaral,M,31,Brazil,Volleyball,2012,0,0,1,1
Nikola Radulovic,M,31,Italy,Basketball,2004,0,0,1,1
Jrme Jeannet,M,31,France,Fencing,2008,0,1,0,1
Martin Annen,M,31,Switzerland-1,Bobsleigh,2006,2,0,0,2
Jean-Philippe Gatien,M,31,France-1,Table Tennis,2000,1,0,0,1
Marta Snchez Salfrn ,F,31,Cuba,Volleyball,2004,1,0,0,1
Niko Klaus Petteri Kapanen,M,31,Finland,Ice Hockey,2010,1,0,0,1
Martin Koukal,M,31,Czech Republic,CrossCountry Skiing,2010,1,0,0,1
Jean-Christophe Praud,M,31,France,Cycling,2008,0,0,1,1
Nikolay Mikhaylovich Maksimov,M,31,Russia,Water Polo,2004,1,0,0,1
Mark R. Grimmette,M,31,United States-2,Luge,2002,0,0,1,1
Jaroslav Soukup,M,31,Czech Republic,Biathlon,2014,1,0,1,2
Jaroslav Kulhav,M,31,Czech Republic,Cycling,2016,0,0,1,1
Julie Wu Chu,F,31,United States,Ice Hockey,2014,0,0,1,1
Jemima Jelagat Sumgong,F,31,Kenya,Athletics,2016,0,1,0,1
Julien Robert,M,31,France,Biathlon,2006,1,0,0,1
Juliet Haslam,F,31,Australia,Hockey,2000,0,1,0,1
Daniel Liam Parsons,M,31,Canada,Rowing,2008,1,0,0,1
Noelle Pikus-Pace,F,31,United States,Skeleton,2014,0,0,1,1
Jarkko Immonen,M,31,Finland,Ice Hockey,2014,1,0,0,1
Mark James Crear,M,31,United States,Athletics,2000,1,0,0,1
Mark Overgaard Madsen,M,31,Denmark,Wrestling,2016,0,0,1,1
Jukka Mika Petteri Hentunen,M,31,Finland,Ice Hockey,2006,0,0,1,1
"Jules Timothy ""Tim"" Brabants",M,31,Great Britain,Canoeing,2008,1,1,0,2
Daniel Stephan,M,31,Germany,Handball,2004,0,0,1,1
Karen Kraft (-Rigsby),F,31,United States,Rowing,2000,1,0,0,1
Magomed Idrisovich Ibragimov,M,31,Uzbekistan,Wrestling,2016,1,0,0,1
David Vborn,M,31,Czech Republic,Ice Hockey,2006,1,0,0,1
Katrin Borchert,F,31,Australia,Canoeing,2000,1,0,0,1
Dorte Oppelstrup Jensen,F,31,Denmark,Sailing,2004,1,0,0,1
Mahiedine Mekhissi-Benabbad,M,31,France,Athletics,2016,1,0,0,1
Maja Ognjenovi,F,31,Serbia,Volleyball,2016,0,0,1,1
Jos A. Ibar Martnez,M,31,Cuba,Baseball,2000,0,0,1,1
Jeroen Petrus Maria Delme,M,31,Netherlands,Hockey,2004,0,0,1,1
Natalia Va Dufresne Perea,F,31,Spain,Sailing,2004,0,0,1,1
Maurizio Felugo,M,31,Italy,Water Polo,2012,0,0,1,1
Malle Danica Ricker,F,31,Canada,Snowboarding,2010,0,1,0,1
"Kathryn Michele ""Kate"" Sobrero-Markgraf",F,31,United States,Football,2008,0,1,0,1
Maksim Mikhaylovich Vylegzhanin,M,31,Russia,CrossCountry Skiing,2014,0,0,3,3
"Douglas Daniel ""Doug"" Weight",M,31,United States,Ice Hockey,2002,0,0,1,1
"Jacob ""Jake"" Wetzel",M,31,Canada,Rowing,2008,0,1,0,1
"Jonathan Michael ""Jon"" Schofield",M,31,Great Britain,Canoeing,2016,0,0,1,1
Megan Victoria Jones,F,31,Australia,Equestrianism,2008,0,0,1,1
"Kenneth L. ""Kenny"" Brokenburr",M,31,United States,Athletics,2000,0,1,0,1
Kerry Dienelt,F,31,Australia,Softball,2000,1,0,0,1
"Deirdre ""Dede"" Demet-Barry",F,31,United States,Cycling,2004,0,0,1,1
Deena Michelle Drossin-Kastor,F,31,United States,Athletics,2004,1,0,0,1
Kelly Parker,F,31,Canada,Football,2012,1,0,0,1
Dborah Jessica Anthonioz,F,31,France,Snowboarding,2010,0,0,1,1
Jordi Nuez Carretero,M,31,Spain,Handball,2000,1,0,0,1
Murilo Endres,M,31,Brazil,Volleyball,2012,0,0,1,1
Doris Fitschen,F,31,Germany,Football,2000,1,0,0,1
Jonelle Richards-Price,F,31,New Zealand,Equestrianism,2012,1,0,0,1
Enric Massip Borrs,M,31,Spain,Handball,2000,1,0,0,1
Kelly Massey,F,31,Great Britain,Athletics,2016,1,0,0,1
Eliud Kipchoge,M,31,Kenya,Athletics,2016,0,1,0,1
Marcel Gerard Balkestein,M,31,Netherlands,Hockey,2012,0,0,1,1
Oleh Viktorovych Lykov,M,31,Ukraine,Rowing,2004,1,0,0,1
"Jessica Jane ""Jess"" Eddie",F,31,Great Britain,Rowing,2016,0,0,1,1
Kari Aalvik Grimsb,F,31,Norway,Handball,2016,1,0,0,1
Marco Villa,M,31,Italy,Cycling,2000,1,0,0,1
Nazmi Avluca,M,31,Turkey,Wrestling,2008,1,0,0,1
"Elisabeth ""Eli"" Pinedo Senz",F,31,Spain,Handball,2012,1,0,0,1
