Name,Control,Region,Locale,Admission Rate,ACT Median,SAT Average,Population,Average Cost,Expenditure,Average Faculty Salary,Median Debt,Median Family Income,Median Earnings
SUNY College of Environmental Science and Forestry,Public,Mid Atlantic,Mid-size City,51,25,1155,1694,22550,15891,8282,17124,67355,38200
SUNY Oneonta,Public,Mid Atlantic,Remote Town,51,24,1097,5759,20762,8609,6242,20500,72432,37300
Texas Lutheran University,Private,Southwest,Fringe Town,51,23,1041,1295,35480,7862,6626,17750,68816.5,38200
University of South Carolina-Aiken,Public,Southeast,Large Suburb,51,21,973,2956,18466,6883,6243,13750,41442,32800
University of St Francis,Private,Great Lakes,Large Suburb,51,23,1070,1757,36226,7644,7543,21000,73669,44700
West Virginia University Institute of Technology,Public,Southeast,Fringe Rural,51,21,990,1133,14465,7477,6566,14625,34515,38700
Bowie State University,Public,Mid Atlantic,Large Suburb,52,19,886,4313,18581,6996,7393,16500,45228,42600
California State Polytechnic University-Pomona,Public,Far West,Large Suburb,52,23,1070,20857,19402,7355,9101,15703.5,30962,45000
Concordia University-Saint Paul,Private,Great Plains,Large City,52,21,991,1927,40267,5381,4358,16667,57993.5,44700
Framingham State University,Public,New England,Small City,52,22,1040,4255,21402,5080,7977,15522.5,72222.5,40200
Georgia Southern University,Public,Southeast,Remote Town,52,23,1094,17103,21513,6183,6217,16250,61757,36600
North Park University,Private,Great Lakes,Large City,52,22,1030,2190,31065,6660,7535,18750,60232.5,37300
Southwestern University,Private,Southwest,Large Suburb,52,26,1168,1528,46789,14025,7926,20644,95160,41700
Sul Ross State University,Public,Southwest,Remote Town,52,18,865,2000,17254,6455,6180,10250,23682,33000
SUNY at Fredonia,Public,Mid Atlantic,Distant Town,52,24,1056,5049,20802,10250,6817,19000,75269.5,35700
The University of Tampa,Private,Southeast,Large City,52,24,1075,6476,37714,6103,8424,17550.5,66421,40200
Trinity Washington University,Private,Mid Atlantic,Large City,52,0,0,1810,30144,5259,6264,16375,35959,35500
University of Puerto Rico-Rio Piedras,Public,Outlying Areas,Large City,52,0,1195,11834,8020,12517,7104,5500,22433.5,0
West Chester University of Pennsylvania,Public,Mid Atlantic,Large Suburb,52,0,1105,13456,24997,7384,8909,19695.5,82783,42000
Worcester Polytechnic Institute,Private,New England,Mid-size City,52,0,0,4012,55866,22494,8598,27000,93479,75200
Adams State University,Public,Rocky Mountains,Remote Town,53,20,939,2227,17759,7996,5986,11000,34243,30700
Carroll College,Private,Rocky Mountains,Remote Town,53,24,1112,1376,38575,7125,6312,21500,68497,37800
Claflin University,Private,Southeast,Distant Town,53,18,873,1803,29849,7775,6217,22055,27154,25000
Coker College,Private,Southeast,Distant Town,53,20,956,1131,32029,6063,6032,20850,34833,30400
Farmingdale State College,Public,Mid Atlantic,Large Suburb,53,21,969,7455,15258,9540,7951,11000,44234,44200
Inter American University of Puerto Rico-Ponce,Private,Outlying Areas,Mid-size Suburb,53,0,0,5353,10884,2393,4363,7250,13417.5,17500
Limestone College,Private,Southeast,Fringe Town,53,22,1010,3150,34658,4875,4780,20000,31465.5,33800
Lipscomb University,Private,Southeast,Large City,53,25,1149,2874,37181,10013,7138,14500,79148,35500
Morningside College,Private,Great Plains,Small City,53,23,1050,1267,36280,5367,6371,19932,64251,36600
St John's University-New York,Private,Mid Atlantic,Large City,53,24,1093,11147,50233,10743,11777,20000,49731,48000
University of Arkansas at Little Rock,Public,Southeast,Mid-size City,53,24,1077,8504,19894,7292,7480,14250,26332.5,31600
University of Dayton,Private,Great Lakes,Mid-size City,53,27,1181,7812,46250,10823,8494,23250,108917.5,45900
University of North Florida,Public,Southeast,Large City,53,25,1143,14006,19415,5323,7279,14000,41844.5,38400
University of Puerto Rico-Arecibo,Public,Outlying Areas,Small City,53,0,0,3654,11056,6585,6133,4500,22433.5,0
Concordia University-Chicago,Private,Great Lakes,Large Suburb,54,22,1030,1563,34774,8334,4134,15750,61882,36400
Elon University,Private,Southeast,Mid-size Suburb,54,25,1200,5599,41679,14745,8485,20500,104953,43600
Howard Payne University,Private,Southwest,Remote Town,54,20,953,1059,32861,8101,5553,12275,46720,33300
Indiana University-East,Public,Great Lakes,Fringe Rural,54,21,943,3132,15334,5273,5755,13336,33572,27600
Loyola Marymount University,Private,Far West,Large City,54,27,1202,6087,55432,14921,10098,20201.5,76696,49600
Medaille College,Private,Mid Atlantic,Large City,54,0,865,1716,30598,5765,5457,17363,50094,35300
Midway College,Private,Southeast,Distant Rural,54,22,1032,1247,33132,6789,5459,16750,37808,33700
Pennsylvania State University-Main Campus,Public,Mid Atlantic,Small City,54,27,1199,39460,31625,18073,9902,21500,70439.5,43400
Point University,Private,Southeast,Distant Town,54,20,946,1354,27497,4477,5482,19500,56038,27800
Rogers State University,Public,Southwest,Fringe Town,54,20,950,3957,17213,5098,5534,8250,29974,30500
Rutgers University-Newark,Public,Mid Atlantic,Large City,54,0,1059,6748,22046,15947,12617,19500,59041,50300
Saint Peter's University,Private,Mid Atlantic,Large City,54,19,913,2369,40921,8447,8274,17500,42545,40000
Shaw University,Private,Southeast,Large City,54,0,0,1923,27079,6872,4929,15250,25825,25200
University of Connecticut,Public,New England,Large Suburb,54,28,1233,17684,25786,20908,11500,18983,86510,49700
University of North Carolina Wilmington,Public,Southeast,Mid-size City,54,24,1154,12178,18165,7865,7872,16500,63608.5,35700
University of Saint Francis-Fort Wayne,Private,Great Lakes,Large City,54,21,981,1878,31516,7513,5666,20000,63504,36600
University of West Georgia,Public,Southeast,Fringe Town,54,20,950,9777,18879,6178,5787,14250,51454,32800
Xavier University of Louisiana,Private,Southeast,Large City,54,23,1048,2459,27550,8326,8252,18000,38660.5,43200
Young Harris College,Private,Southeast,Remote Rural,54,21,980,1083,34007,8802,6076,10500,57743.5,31200
Anderson University,Private,Great Lakes,Small City,55,23,1053,1862,37937,8062,6395,23000,72723,33400
Bloomfield College,Private,Mid Atlantic,Large Suburb,55,0,835,1906,38858,8103,7807,18500,32407,33600
Bridgewater College,Private,Southeast,Small Suburb,55,23,1033,1822,41180,5849,6211,19500,82400,37500
Columbus State University,Public,Southeast,Mid-size City,55,21,984,6849,17029,7030,6212,14750,35427.5,30700
Crown College,Private,Great Plains,Fringe Rural,55,21,983,1095,34574,3243,4584,14625,53587.5,30000
Fayetteville State University,Public,Southeast,Mid-size City,55,18,851,5077,13188,8010,8064,17003.5,26610.5,26700
Georgia Institute of Technology-Main Campus,Public,Southeast,Large City,55,30,1352,13975,21980,13939,11230,20750,82697,65700
Georgia State University,Public,Southeast,Large City,55,23,1060,24128,23124,7273,7149,17070,38306,37500
Hampden-Sydney College,Private,Southeast,Distant Rural,55,25,1113,1070,49139,12547,7887,19500,105824,42500
Millikin University,Private,Great Lakes,Small City,55,24,1087,2122,39576,8378,5844,22000,68264.5,38600
Neumann University,Private,Mid Atlantic,Large Suburb,55,18,861,2462,37314,5192,6649,20000,72393.5,36400
Ramapo College of New Jersey,Public,Mid Atlantic,Large Suburb,55,23,1096,5397,27781,8976,9521,19500,79102,45300
Salisbury University,Public,Mid Atlantic,Small Suburb,55,24,1145,7767,20916,6654,6688,16250,87919.5,44100
SUNY at Albany,Public,Mid Atlantic,Small City,55,24,1102,12542,21249,11393,9423,16750,60558,44100
University of Maryland Eastern Shore,Public,Mid Atlantic,Fringe Town,55,18,871,3421,20587,8823,7299,18071,40227,32800
University of Washington-Seattle Campus,Public,Far West,Large City,55,28,1234,28754,24606,23645,10461,14793.5,38703,48300
Valdosta State University,Public,Southeast,Small City,55,22,1033,9634,20958,5873,5998,16000,51351,34300
Adrian College,Private,Great Lakes,Distant Town,56,22,1007,1616,40199,7091,7453,14250,71008.5,33800
Albion College,Private,Great Lakes,Fringe Town,56,25,1143,1284,45690,11574,6969,22500,85027.5,40800
Concordia University-Portland,Private,Far West,Large City,56,21,993,1378,35963,3210,7401,17500,53453,38800
La Roche College,Private,Mid Atlantic,Large Suburb,56,21,931,1344,35493,5901,5789,18750,62381,37000
Lewis University,Private,Great Lakes,Large Suburb,56,24,1088,4489,34079,8122,9021,20000,71614,43500
Northern Illinois University,Public,Great Lakes,Small Suburb,56,22,1010,15782,27621,12208,7834,16500,64181,39500
Oglethorpe University,Private,Southeast,Large Suburb,56,25,1131,1020,43689,8645,4728,18459,46214.5,37600
Ohio State University-Main Campus,Public,Great Lakes,Large City,56,29,1289,43139,24524,16161,11284,17000,65600.5,38900
Oklahoma Baptist University,Private,Southwest,Distant Town,56,24,1098,1882,31759,6372,6090,12000,58859,34100
Pratt Institute-Main,Private,Mid Atlantic,Large City,56,26,1140,3247,54582,13360,9254,23241,59029,37300
Rose-Hulman Institute of Technology,Private,Great Lakes,Small City,56,30,1310,2165,55413,20879,8411,26000,91307,71300
Simpson University,Private,Far West,Small City,56,22,1030,1024,33889,6136,6144,16666,44207,28000
The College of Wooster,Private,Great Lakes,Distant Town,56,28,1231,2070,51300,13868,8007,20490,88881.5,39900
University of Georgia,Public,Southeast,Mid-size City,56,28,1247,26120,21162,8478,9015,16831,69003,42500
University of Pittsburgh-Pittsburgh Campus,Public,Mid Atlantic,Large City,56,28,1258,18304,30410,16506,9533,22000,71893,45600
University of the Sciences,Private,Mid Atlantic,Large City,56,25,1165,1830,49327,12508,8000,27000,82840.5,94000
Winston-Salem State University,Public,Southeast,Mid-size City,56,18,889,4877,15990,10878,7643,20499,30559.5,28900
Woodbury University,Private,Far West,Large City,56,22,987,1353,42465,12067,9365,27000,35334.5,41200
Baylor University,Private,Southwest,Mid-size City,57,27,1215,13221,51086,14046,8793,21000,72163,43700
California State University-Dominguez Hills,Public,Far West,Small City,57,17,845,11894,12957,6807,8202,14191,25199.5,39100
Clark Atlanta University,Private,Southeast,Large City,57,19,880,2629,34201,8191,6418,20000,41956,29800
Covenant College,Private,Southeast,Large Suburb,57,26,1173,1063,38510,8344,6841,18500,61514,37200
Elizabeth City State University,Public,Southeast,Distant Town,57,17,849,2276,10620,8556,7545,18137,26308,25100
Florida State University,Public,Southeast,Mid-size City,57,27,1212,32086,20774,8596,9706,18750,51372.5,40000
Francis Marion University,Public,Southeast,Small Suburb,57,20,938,3380,19965,8401,7223,19250,38222,30400
Hiram College,Private,Great Lakes,Fringe Town,57,22,1030,1260,42672,9169,5420,21333.5,63023.5,35300
Illinois Institute of Technology,Private,Great Lakes,Large City,57,28,1252,2855,48940,12231,11256,22015,55985.5,61700
Kennesaw State University,Public,Southeast,Large Suburb,57,23,1068,22211,20630,6179,6252,15000,41150.5,37200
Lake Forest College,Private,Great Lakes,Large Suburb,57,26,1157,1577,49743,10173,8231,24000,81078,41600
Marquette University,Private,Great Lakes,Large City,57,27,1217,8190,46649,9995,9665,24760,93069,52300
Mercy College,Private,Mid Atlantic,Large Suburb,57,0,0,6897,26740,5547,8144,14750,28188,34800
Minot State University,Public,Great Plains,Remote Town,57,22,1004,2693,14549,8038,6338,12878.5,43540,34600
Nova Southeastern University,Private,Southeast,Large Suburb,57,24,1084,5053,40783,10921,9482,19482,31833,42300
Southern Utah University,Public,Rocky Mountains,Remote Town,57,23,1066,5620,18042,5519,6526,8250,30660.5,34000
Stephen F Austin State University,Public,Southwest,Fringe Rural,57,22,998,10715,21909,6535,7087,16074,45665,36800
Tarleton State University,Public,Southwest,Remote Town,57,21,984,11328,17709,6065,7074,13118,42847,37900
The College of New Rochelle,Private,Mid Atlantic,Large Suburb,57,24,986,3207,43273,5170,8030,16000,18962,33300
The Sage Colleges,Private,Mid Atlantic,Small City,57,0,0,1661,40437,6918,5797,17750,51423,37200
The University of Alabama,Public,Southeast,Small City,57,26,1171,28692,26717,9817,9605,17750,58976,39200
University at Buffalo,Public,Mid Atlantic,Large Suburb,57,26,1158,19365,20885,15151,10026,15200,56636,44500
University of Arkansas-Fort Smith,Public,Southeast,Small City,57,22,1028,6508,14335,5165,6658,8240,25892,28400
Whitman College,Private,Far West,Small City,57,30,1327,1525,54865,18262,8715,14600,93725,37900
Bay Path College,Private,New England,Large Suburb,58,20,964,1454,40447,6148,7754,18065,45278,37500
California State University-Fresno,Public,Far West,Large City,58,19,920,19911,16377,6446,8027,14500,28781,38100
California State University-San Bernardino,Public,Far West,Mid-size City,58,18,888,15887,17030,6585,8558,16431,28986.5,40600
Chestnut Hill College,Private,Mid Atlantic,Large City,58,21,960,1510,42663,7120,6218,23500,44204,39200
Clemson University,Public,Southeast,Large Suburb,58,29,1259,16801,27944,11711,9907,20008,87306,43500
Illinois Wesleyan University,Private,Great Lakes,Small City,58,28,1241,2000,48522,15537,7853,25000,103114.5,48500
Lancaster Bible College,Private,Mid Atlantic,Large Suburb,58,19,982,1212,27372,8105,5605,12000,60888,28400
Loyola University Maryland,Private,Mid Atlantic,Large City,58,27,1194,3972,56736,11584,8346,26000,112164,56400
Marian University,Private,Great Lakes,Large City,58,22,1024,2054,39369,8781,5762,23412.5,48632,39800
Maryland Institute College of Art,Private,Mid Atlantic,Large City,58,0,1175,1892,52649,13502,8764,23000,89961,30900
Morgan State University,Public,Mid Atlantic,Large City,58,18,893,6197,20108,9025,7430,22907,40263.5,34100
North Greenville University,Private,Southeast,Fringe Rural,58,25,1137,2068,28373,4680,5568,12000,53275,27000
Rhodes College,Private,Southeast,Large City,58,29,1288,2012,50659,14821,8035,22991,100407,41400
St Mary's University,Private,Southwest,Large City,58,23,1050,2390,35160,12291,9441,20000,44525.5,40800
SUNY College at Old Westbury,Public,Mid Atlantic,Large Suburb,58,21,998,4045,15888,9499,8055,13821,34319,39000
University of Houston,Public,Southwest,Large City,58,25,1136,30357,22215,7456,10569,14878,33211,45200
University of Minnesota-Morris,Public,Great Plains,Remote Town,58,26,1168,1846,22853,8451,6597,14768,71476,34500
Upper Iowa University,Private,Great Plains,Remote Rural,58,22,1010,4513,35190,4234,5794,15882.5,38423,39000
Virginia Union University,Private,Southeast,Mid-size City,58,15,750,1359,26885,5953,5524,14250,39816.5,27200
Webster University,Private,Great Plains,Large Suburb,58,24,1107,3398,37363,6648,8068,20500,61052,37400
Wentworth Institute of Technology,Private,New England,Large City,58,24,1109,3975,43850,8790,8039,21700,81863,52100
Willamette University,Private,Far West,Mid-size City,58,27,1198,1970,52665,14645,9341,19538.5,82978,41300
William Jewell College,Private,Great Plains,Large Suburb,58,25,1146,1044,42688,9378,6077,19500,75990.5,40500
William Penn University,Private,Great Plains,Remote Town,58,20,926,1558,33081,4768,5792,18740,45954.5,36900
Augustana College,Private,Great Lakes,Small City,59,0,0,2504,45364,9770,7186,25000,88060,42800
Austin College,Private,Southwest,Small City,59,25,1181,1206,45800,14009,7605,23000,83025,41000
Cedar Crest College,Private,Mid Atlantic,Mid-size City,59,21,948,1252,41240,9593,7031,23250,53743.5,42500
Christopher Newport University,Public,Southeast,Mid-size City,59,26,1161,5083,24696,8747,7705,19736.5,95158,39800
Friends University,Private,Great Plains,Large City,59,21,977,1568,33388,5303,6443,20834,45203.5,38300
Frostburg State University,Public,Mid Atlantic,Small Suburb,59,20,963,4575,19454,6658,6570,16750,68365.5,38500
Hofstra University,Private,Mid Atlantic,Large Suburb,59,26,1165,6748,49604,15989,12848,19150,74751,45900
McMurry University,Private,Southwest,Mid-size City,59,21,982,1157,34650,8200,5688,16865,44039,35700
Newberry College,Private,Southeast,Distant Town,59,20,938,1032,37837,5913,5099,21492,53768,28900
Rollins College,Private,Southeast,Large Suburb,59,27,1199,2608,56309,12311,7767,23000,46391,40600
Rowan University,Public,Mid Atlantic,Large Suburb,59,0,1120,10656,26970,13609,9370,18500,74007.5,45900
Rutgers University-Camden,Public,Mid Atlantic,Small City,59,0,1035,4777,22048,15006,10679,19500,59041,50300
Southeastern University,Private,Southeast,Small City,59,20,955,2633,30333,5231,6899,14250,55937,28300
St Olaf College,Private,Great Plains,Distant Town,59,29,1290,3079,50550,16054,8527,25000,98006,40200
Stetson University,Private,Southeast,Mid-size Suburb,59,26,1168,2711,49939,11448,9877,18050,64137,36500
The University of Texas at Dallas,Public,Southwest,Mid-size City,59,28,1262,13042,22381,9848,12416,15080.5,39445.5,46800
Touro College,Private,Mid Atlantic,Large City,59,0,0,6196,23347,7538,7050,12000,16612,27100
University of Arkansas,Public,Southeast,Small City,59,26,1156,20776,19917,8349,8902,14990,52612,39200
University of Louisiana at Lafayette,Public,Southeast,Mid-size City,59,23,1070,14261,15342,4963,7568,13000,35091,34600
University of Mississippi,Public,Southeast,Remote Town,59,24,1100,16432,21526,9350,8409,15750,46826.5,37900
Western Illinois University,Public,Great Lakes,Remote Town,59,21,970,9873,24375,11290,8263,17729,65915,37200
Arcadia University,Private,Mid Atlantic,Large Suburb,60,25,1095,2400,48907,8548,7962,22000,76319,38100
Berry College,Private,Southeast,Small Suburb,60,27,1186,2122,40965,12857,7060,15750,71090,34600
Catholic University of America,Private,Mid Atlantic,Large City,60,25,1118,3641,54023,15799,9565,22000,106352,48900
DePaul University,Private,Great Lakes,Large City,60,26,1163,16120,46375,11612,10392,20500,54683,44800
Dominican University,Private,Great Lakes,Large Suburb,60,22,1031,2020,36307,9940,6685,18656,58497.5,40100
Eastern Kentucky University,Public,Southeast,Distant Town,60,22,1009,13247,17801,8413,6910,14921.5,40016,31900
Emmanuel College,Private,New England,Large City,60,24,1090,2040,49487,7555,8155,24250,81534,42200
Florida Institute of Technology,Private,Southeast,Small City,60,26,1153,3191,52490,10719,9025,8509,73416.5,50500
Northeastern Illinois University,Public,Great Lakes,Large City,60,19,890,8827,22273,11837,6988,11643.5,25711.5,33100
Northwestern Oklahoma State University,Public,Southwest,Remote Town,60,20,930,2005,13065,6634,5246,7500,33698,33200
Providence College,Private,New England,Mid-size City,60,26,1158,3969,56184,12232,9471,27000,110798,52900
Purdue University-Main Campus,Public,Great Lakes,Mid-size Suburb,60,27,1211,30167,23109,15477,11005,20500,77728,47500
Rochester Institute of Technology,Private,Mid Atlantic,Large Suburb,60,28,1232,12587,45772,16160,9621,24500,72166,54000
Rutgers University-New Brunswick,Public,Mid Atlantic,Small City,60,0,1210,33427,28011,14782,10967,19500,59041,50300
Sewanee-The University of the South,Private,Southeast,Distant Rural,60,28,1248,1599,46530,14960,8389,16000,81758,34300
Stevenson University,Private,Mid Atlantic,Fringe Rural,60,21,990,3923,38785,8585,9724,18197.5,77520,45800
The University of Texas at Arlington,Public,Southwest,Large City,60,23,1077,25415,21420,6782,8272,12834,36358,42900
Towson University,Public,Mid Atlantic,Small City,60,23,1078,18534,21596,5906,6670,15750,71279.5,45700
University of California-Santa Cruz,Public,Far West,Small City,60,23,1087,15695,33208,8338,12110,16500,58508,37800
University of Illinois at Springfield,Public,Great Lakes,Mid-size City,60,24,1085,2959,21385,10685,7464,15000,42542.5,40000
University of North Carolina at Greensboro,Public,Southeast,Large City,60,23,1029,14138,17362,8803,7926,16000,50195,33300
University of North Texas,Public,Southwest,Mid-size City,60,24,1100,31243,18593,7571,9746,14955,49512,39400
Augsburg College,Private,Great Plains,Large City,61,23,1053,2661,42531,9476,6868,23000,60818,41300
Avila University,Private,Great Plains,Large City,61,22,1028,1336,34898,6943,6747,18750,53028,39500
Ball State University,Public,Great Lakes,Small City,61,22,1053,15985,21101,9700,7305,18686,73544,35800
Benedictine College,Private,Great Plains,Distant Town,61,25,1145,1750,36805,5931,6165,19500,79145.5,35000
DePauw University,Private,Great Lakes,Distant Town,61,27,1215,2272,51050,18330,8900,21000,92959,44800
Emporia State University,Public,Great Plains,Remote Town,61,22,1030,3724,15612,7795,6268,14000,54559,33200
Lincoln University of Pennsylvania,Public,Mid Atlantic,Large Suburb,61,18,853,1614,22497,8889,8170,24376,35974,30900
Louisiana State University-Alexandria,Public,Southeast,Fringe Rural,61,20,950,1984,14276,7400,5298,9000,25217,29000
Madonna University,Private,Great Lakes,Small City,61,22,1034,3080,22629,7282,7554,21733,41119.5,36300
Methodist University,Private,Southeast,Mid-size City,61,21,961,2172,45011,7620,6726,11200,45688.5,35200
Missouri Baptist University,Private,Great Plains,Large Suburb,61,22,1001,1710,30542,4293,5248,15807,50739.5,31800
Mount Ida College,Private,New England,Small City,61,18,880,1261,41565,8163,6336,19000,61177,32600
Piedmont College,Private,Southeast,Distant Town,61,22,1001,1281,32031,6381,5734,16703,49580.5,37000
Portland State University,Public,Far West,Large City,61,0,1045,20085,19843,8562,8286,18832,29525.5,38200
Purdue University-Calumet Campus,Public,Great Lakes,Large Suburb,61,0,975,7466,16727,7971,7937,16000,33145,34000
Southern Arkansas University Main Campus,Public,Southeast,Remote Town,61,21,989,2640,17738,6317,6077,10500,27662,31700
St Catherine University,Private,Great Plains,Large City,61,23,1051,3479,43356,9805,6737,22697,52083.5,43700
The Master's College and Seminary,Private,Far West,Large Suburb,61,25,1104,1112,40815,7582,7063,15750,62514,35400
University of Detroit Mercy,Private,Great Lakes,Large City,61,25,1142,2871,48027,14080,8667,19300,44772,43000
University of North Georgia,Public,Southeast,Fringe Town,61,21,1009,14502,16525,4614,5492,7500,0,0
University of San Francisco,Private,Far West,Large City,61,25,1161,6308,55812,15041,12409,23000,70581,53300
University of South Carolina-Columbia,Public,Southeast,Mid-size City,61,27,1200,23987,23685,10384,9514,19125,63282.5,38700
Winona State University,Public,Great Plains,Distant Town,61,23,1070,8079,20449,6161,7570,18288,80304,39000
Worcester State University,Public,New England,Mid-size City,61,22,1016,5033,18494,6536,8356,14500,62776.5,39700
Albright College,Private,Mid Atlantic,Small City,62,23,1033,2333,46170,9620,6340,24562.5,66577.5,41700
Chowan University,Private,Southeast,Distant Town,62,16,777,1361,32188,5191,6164,9500,41295,29400
Clark University,Private,New England,Mid-size City,62,0,0,2312,47248,10780,9630,23000,75720.5,38800
Coe College,Private,Great Plains,Mid-size City,62,26,1166,1355,45387,11825,7662,21875,75314,40300
East Carolina University,Public,Southeast,Small City,62,23,1050,20625,19851,11838,7975,18500,53731,35900
Eastern Illinois University,Public,Great Lakes,Remote Town,62,22,1010,8255,23346,12690,7773,18750,69586,36000
George Mason University,Public,Southeast,Large Suburb,62,26,1155,21324,22332,12122,10524,17250,53311,53100
Henderson State University,Public,Southeast,Distant Town,62,22,1011,3190,18033,6124,5606,10443,32258,32300
Kettering University,Private,Great Lakes,Mid-size City,62,27,1198,1640,49303,11438,7704,22500,83977,69900
Le Moyne College,Private,Mid Atlantic,Mid-size City,62,24,1080,2619,42068,9710,8776,21216.5,62276,45000
McNeese State University,Public,Southeast,Small City,62,22,1030,6777,14823,4932,6410,12806,33535,33000
Meredith College,Private,Southeast,Large City,62,23,1040,1543,39296,9730,6925,20500,56959.5,34400
Northwest Nazarene University,Private,Rocky Mountains,Mid-size Suburb,62,25,1079,1251,34498,6722,5691,19500,60526,32300
Sarah Lawrence College,Private,Mid Atlantic,Large Suburb,62,0,0,1402,62636,20142,9806,13126,65944,37700
The Richard Stockton College of New Jersey,Public,Mid Atlantic,Mid-size Suburb,62,22,1068,7491,26086,8256,9242,18750,64554.5,42300
The University of Texas-Pan American,Public,Southwest,Small City,62,20,937,17200,11601,6001,7552,9621,21957,36500
University of California-Riverside,Public,Far West,Large City,62,23,1078,18612,29787,10473,11324,17000,43078.5,41100
University of Hartford,Private,New England,Mid-size City,62,23,1053,5026,47368,12566,8178,19944,85192,39400
University of Illinois at Urbana-Champaign,Public,Great Lakes,Small City,62,29,1303,31663,28564,13674,11576,19399,85462,50700
Albany College of Pharmacy and Health Sciences,Private,Mid Atlantic,Small City,63,27,1195,1075,40718,11879,8530,24930.5,80225,125600
Appalachian State University,Public,Southeast,Distant Town,63,26,1156,15840,17780,7361,7657,15635,69100,33600
Becker College,Private,New England,Mid-size City,63,22,1006,1871,44041,5832,7308,15750,54112,36300
California State University-San Marcos,Public,Far West,Large Suburb,63,21,966,10689,20386,8553,8357,14000,31166,40500
Central Michigan University,Public,Great Lakes,Distant Town,63,22,1029,20070,21523,8249,8603,21721.5,70233.5,36100
Cleveland State University,Public,Great Lakes,Large City,63,22,1030,11484,22041,8213,8624,16500,31001,36900
Eastern New Mexico University-Main Campus,Public,Southwest,Remote Town,63,20,932,3767,15021,5613,5960,9436,24637,26100
Gustavus Adolphus College,Private,Great Plains,Fringe Town,63,27,1224,2439,48422,14254,7179,26000,93107,42400
Huntingdon College,Private,Southeast,Mid-size City,63,22,999,1100,31433,6571,6027,16850,54275.5,33000
Lewis & Clark College,Private,Far West,Large City,63,29,1279,1985,53455,14496,9221,19115,67573,37600
McKendree University,Private,Great Lakes,Large Suburb,63,23,1046,2312,37004,5614,6641,17613,52208,40500
Mount Vernon Nazarene University,Private,Great Lakes,Distant Town,63,23,1071,1774,33321,6654,6099,21875,64078,37000
Norwich University,Private,New England,Distant Town,63,24,1065,2432,47341,6331,7147,23000,84597,43800
Oklahoma Christian University,Private,Southwest,Large City,63,25,1124,1949,29359,8096,6581,15331,70327,33200
Saint John Fisher College,Private,Mid Atlantic,Large Suburb,63,25,1095,2948,39014,8715,8342,21500,77096,41400
San Jose State University,Public,Far West,Large City,63,22,1030,25723,21160,8070,9155,14000,27853.5,48100
University of Maryland-Baltimore County,Public,Mid Atlantic,Large Suburb,63,27,1209,11012,22024,9852,8985,17500,59891,46900
University of Massachusetts-Amherst,Public,New England,Large Suburb,63,27,1209,21672,25665,12988,11354,21500,75270.5,43500
University of Michigan-Dearborn,Public,Great Lakes,Small City,63,25,1125,6793,15831,9628,8640,18750,38952,42900
Wesley College,Private,Mid Atlantic,Small City,63,20,841,1481,35199,6971,6703,14250,65621,38800
Whittier College,Private,Far West,Large Suburb,63,23,1043,1651,49920,11366,8954,21500,75319,38900
Baldwin Wallace University,Private,Great Lakes,Large Suburb,64,24,1096,3331,37504,10201,7418,24000,74030,39900
Birmingham Southern College,Private,Southeast,Mid-size City,64,26,1177,1181,44512,9990,7513,21500,89942.5,38200
Caldwell College,Private,Mid Atlantic,Large Suburb,64,21,949,1570,38223,6788,7944,19125,50740,38400
California State University-Channel Islands,Public,Far West,Mid-size Suburb,64,20,954,4950,22570,12026,8434,12500,32103,35800
Central Connecticut State University,Public,New England,Large Suburb,64,22,1006,9512,20372,8990,8513,16852.5,66799.5,41200
Clarkson University,Private,Mid Atlantic,Remote Town,64,26,1187,3060,54772,13218,10138,24187,82272,62400
Cornell College,Private,Great Plains,Fringe Town,64,26,1182,1122,46135,9227,6592,25015,82517,35100
Earlham College,Private,Great Lakes,Distant Town,64,29,1262,1016,50930,19527,7391,21197,79944,29900
Eastern Michigan University,Public,Great Lakes,Large Suburb,64,22,1011,18543,18905,8307,8853,19114.5,52069,33800
Eastern University,Private,Mid Atlantic,Large Suburb,64,21,1041,2458,39764,7909,6289,20927,70417,37900
Evangel University,Private,Great Plains,Mid-size City,64,23,1046,2071,30988,6543,6433,16000,58776,32400
Furman University,Private,Southeast,Large Suburb,64,28,1237,2777,55434,18804,8957,20500,93139.5,40200
Hampshire College,Private,New England,Large Suburb,64,0,0,1468,57765,14260,9033,16250,88959,25100
Hawaii Pacific University,Private,Far West,Large City,64,22,1005,5386,29762,6203,8603,16250,41600,42100
High Point University,Private,Southeast,Mid-size City,64,24,1087,3996,42300,8793,6894,18250,47907.5,34900
James Madison University,Public,Southeast,Small City,64,25,1149,18127,21980,8099,8016,18500,99908,48800
King University,Private,Southeast,Small City,64,23,1039,2121,36533,4357,4703,17910,52011,39900
Lynchburg College,Private,Southeast,Small City,64,22,1002,2140,41818,10202,7038,21500,77604,37000
Marietta College,Private,Great Lakes,Fringe Town,64,24,1105,1390,42205,12211,6565,22353,71762,34000
Mars Hill University,Private,Southeast,Large Suburb,64,20,941,1393,36669,5825,5017,12000,50049,28400
Monmouth College,Private,Great Lakes,Remote Town,64,23,1049,1247,40578,9453,6770,22000,76102,35500
North Central College,Private,Great Lakes,Mid-size City,64,25,1125,2700,41218,8407,7337,20000,83750,40100
